task,n_risk,n_safe,v8_tp,v8_fp,v8+head_tp,v8+head_fp,v8_recall,new_recall,d_tp,d_fp
libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,1,799,0,1,0,1,0.0,0.0,0,0
libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,6,794,0,0,0,0,0.0,0.0,0,0
libero_object/pick_up_the_butter_and_place_it_in_the_basket,2,798,0,3,0,3,0.0,0.0,0,0
libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,12,788,1,0,1,0,0.08333333333333333,0.08333333333333333,0,0
libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,26,774,6,0,6,0,0.23076923076923078,0.23076923076923078,0,0
libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,17,783,4,0,4,0,0.23529411764705882,0.23529411764705882,0,0
libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,38,762,9,1,9,1,0.23684210526315788,0.23684210526315788,0,0
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,113,1199,29,0,29,0,0.25663716814159293,0.25663716814159293,0,0
libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket,8,792,3,1,3,1,0.375,0.375,0,0
libero_goal/put_the_bowl_on_the_plate,30,770,12,1,16,1,0.4,0.5333333333333333,4,0
libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,32,768,15,0,15,0,0.46875,0.46875,0,0
libero_goal/put_the_wine_bottle_on_the_rack,4,796,2,0,2,0,0.5,0.5,0,0
libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,6,794,3,2,3,2,0.5,0.5,0,0
libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,21,779,11,0,11,0,0.5238095238095238,0.5238095238095238,0,0
libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,11,789,6,0,6,0,0.5454545454545454,0.5454545454545454,0,0
libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket,11,789,6,0,6,0,0.5454545454545454,0.5454545454545454,0,0
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,49,1263,30,1,30,1,0.6122448979591837,0.6122448979591837,0,0
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,145,1167,98,1,99,3,0.6758620689655173,0.6827586206896552,1,2
libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,7,793,5,16,5,16,0.7142857142857143,0.7142857142857143,0,0
libero_object/pick_up_the_milk_and_place_it_in_the_basket,15,785,12,1,12,1,0.8,0.8,0,0
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,505,807,404,36,452,47,0.8,0.8950495049504951,48,11
libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,10,390,8,1,9,1,0.8,0.9,1,0
libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket,5,795,4,0,4,0,0.8,0.8,0,0
libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,22,778,19,1,19,1,0.8636363636363636,0.8636363636363636,0,0
libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,37,763,32,9,32,9,0.8648648648648649,0.8648648648648649,0,0
libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,30,370,26,4,26,4,0.8666666666666667,0.8666666666666667,0,0
libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,10,790,9,6,9,6,0.9,0.9,0,0
libero_goal/put_the_bowl_on_the_stove,15,785,14,0,14,0,0.9333333333333333,0.9333333333333333,0,0
libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,90,710,85,18,85,18,0.9444444444444444,0.9444444444444444,0,0
libero_goal/put_the_cream_cheese_in_the_bowl,19,781,18,4,19,4,0.9473684210526315,1.0,1,0
libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,14,786,14,11,14,11,1.0,1.0,0,0
libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,3,797,3,0,3,0,1.0,1.0,0,0
libero_object/pick_up_the_ketchup_and_place_it_in_the_basket,1,799,1,0,1,0,1.0,1.0,0,0
libero_goal/put_the_bowl_on_top_of_the_cabinet,31,769,31,0,31,0,1.0,1.0,0,0
libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,5,795,5,4,5,4,1.0,1.0,0,0
libero_goal/push_the_plate_to_the_front_of_the_stove,3,797,3,4,3,4,1.0,1.0,0,0
libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,4,396,4,0,4,0,1.0,1.0,0,0
