true_task\pred,open_the_middle_drawer_of_the_cabinet,open_the_top_drawer_and_put_the_bowl_inside,push_the_plate_to_the_front_of_the_stove,put_the_bowl_on_the_plate,put_the_bowl_on_the_stove,put_the_bowl_on_top_of_the_cabinet,put_the_cream_cheese_in_the_bowl,put_the_wine_bottle_on_the_rack,put_the_wine_bottle_on_top_of_the_cabinet,turn_on_the_stove
open_the_middle_drawer_of_the_cabinet,400,0,0,0,0,0,0,0,0,0
open_the_top_drawer_and_put_the_bowl_inside,0,400,0,0,0,0,0,0,0,0
push_the_plate_to_the_front_of_the_stove,0,0,400,0,0,0,0,0,0,0
put_the_bowl_on_the_plate,0,0,0,400,0,0,0,0,0,0
put_the_bowl_on_the_stove,0,0,0,0,400,0,0,0,0,0
put_the_bowl_on_top_of_the_cabinet,0,0,0,0,0,400,0,0,0,0
put_the_cream_cheese_in_the_bowl,0,0,0,0,0,0,400,0,0,0
put_the_wine_bottle_on_the_rack,0,0,0,0,0,0,0,400,0,0
put_the_wine_bottle_on_top_of_the_cabinet,0,0,0,0,0,0,0,0,400,0
turn_on_the_stove,0,0,0,0,0,0,0,0,0,400
