global_row,source,episode,run_id,task,failure,method,euclidean_first,combined_first,newly_detected
60,cache_new/HiMoE-VLA/libero_goal/open_the_middle_drawer_of_the_cabinet/right-50x8-20260903,60,right-50x8-20260903,libero_goal/open_the_middle_drawer_of_the_cabinet,False,euclidean_OR_cosine,-1,8,True
380,cache_new/HiMoE-VLA/libero_goal/open_the_middle_drawer_of_the_cabinet/right-50x8-20260903,380,right-50x8-20260903,libero_goal/open_the_middle_drawer_of_the_cabinet,False,euclidean_OR_cosine,-1,7,True
386,cache_new/HiMoE-VLA/libero_goal/open_the_middle_drawer_of_the_cabinet/right-50x8-20260903,386,right-50x8-20260903,libero_goal/open_the_middle_drawer_of_the_cabinet,False,euclidean_OR_cosine,-1,7,True
464,cache_new/HiMoE-VLA/libero_goal/open_the_middle_drawer_of_the_cabinet/right-50x8b-20260903,64,right-50x8b-20260903,libero_goal/open_the_middle_drawer_of_the_cabinet,False,euclidean_OR_cosine,-1,7,True
655,cache_new/HiMoE-VLA/libero_goal/open_the_middle_drawer_of_the_cabinet/right-50x8b-20260903,255,right-50x8b-20260903,libero_goal/open_the_middle_drawer_of_the_cabinet,False,euclidean_OR_cosine,-1,11,True
672,cache_new/HiMoE-VLA/libero_goal/open_the_middle_drawer_of_the_cabinet/right-50x8b-20260903,272,right-50x8b-20260903,libero_goal/open_the_middle_drawer_of_the_cabinet,False,euclidean_OR_cosine,-1,7,True
789,cache_new/HiMoE-VLA/libero_goal/open_the_middle_drawer_of_the_cabinet/right-50x8b-20260903,389,right-50x8b-20260903,libero_goal/open_the_middle_drawer_of_the_cabinet,False,euclidean_OR_cosine,-1,7,True
834,cache_new/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-50x8-20260903,34,right-50x8-20260903,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,False,euclidean_OR_cosine,-1,15,True
865,cache_new/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-50x8-20260903,65,right-50x8-20260903,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,False,euclidean_OR_cosine,-1,17,True
905,cache_new/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-50x8-20260903,105,right-50x8-20260903,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,False,euclidean_OR_cosine,-1,14,True
964,cache_new/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-50x8-20260903,164,right-50x8-20260903,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,False,euclidean_OR_cosine,-1,14,True
969,cache_new/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-50x8-20260903,169,right-50x8-20260903,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,False,euclidean_OR_cosine,-1,15,True
