order,job_id,suite,task_id,episode_index,init_state_id,seed,flow_noise_seed,state,outcome,is_completed,is_succeeded,is_task_failed,is_infra_failed,is_pending,is_running,attempt_count,episode_status,success,action_steps,inference_calls,duration_seconds,artifact_dir,video_path,video_retained,error_type,error
0,task00-episode000-init000-seed7,goal,0,0,0,7,42,completed,succeeded,1,1,0,0,0,0,1,completed,True,120,12,21.64529236778617,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-goal-task00-task09-v1/batch-libero-goal-20260803T141528743971Z/episodes/task00-episode000-init000-seed7/episode-libero-goal-task00-seed7-20260803T141528Z,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-goal-task00-task09-v1/batch-libero-goal-20260803T141528743971Z/episodes/task00-episode000-init000-seed7/episode-libero-goal-task00-seed7-20260803T141528Z/episode.mp4,False,,
1,task00-episode001-init001-seed7,goal,0,1,1,7,43,completed,succeeded,1,1,0,0,0,0,1,completed,True,105,11,11.285585140809417,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-goal-task00-task09-v1/batch-libero-goal-20260803T141528743971Z/episodes/task00-episode001-init001-seed7/episode-libero-goal-task00-seed7-20260803T141550Z,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-goal-task00-task09-v1/batch-libero-goal-20260803T141528743971Z/episodes/task00-episode001-init001-seed7/episode-libero-goal-task00-seed7-20260803T141550Z/episode.mp4,False,,
2,task00-episode002-init002-seed7,goal,0,2,2,7,44,completed,succeeded,1,1,0,0,0,0,1,completed,True,120,12,14.422920621931553,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-goal-task00-task09-v1/batch-libero-goal-20260803T141528743971Z/episodes/task00-episode002-init002-seed7/episode-libero-goal-task00-seed7-20260803T141601Z,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-goal-task00-task09-v1/batch-libero-goal-20260803T141528743971Z/episodes/task00-episode002-init002-seed7/episode-libero-goal-task00-seed7-20260803T141601Z/episode.mp4,False,,
3,task00-episode003-init003-seed7,goal,0,3,3,7,45,completed,succeeded,1,1,0,0,0,0,1,completed,True,117,12,14.857539620250463,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-goal-task00-task09-v1/batch-libero-goal-20260803T141528743971Z/episodes/task00-episode003-init003-seed7/episode-libero-goal-task00-seed7-20260803T141616Z,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-goal-task00-task09-v1/batch-libero-goal-20260803T141528743971Z/episodes/task00-episode003-init003-seed7/episode-libero-goal-task00-seed7-20260803T141616Z/episode.mp4,False,,
4,task00-episode004-init004-seed7,goal,0,4,4,7,46,completed,succeeded,1,1,0,0,0,0,1,completed,True,120,12,14.58221778087318,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-goal-task00-task09-v1/batch-libero-goal-20260803T141528743971Z/episodes/task00-episode004-init004-seed7/episode-libero-goal-task00-seed7-20260803T141631Z,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-goal-task00-task09-v1/batch-libero-goal-20260803T141528743971Z/episodes/task00-episode004-init004-seed7/episode-libero-goal-task00-seed7-20260803T141631Z/episode.mp4,False,,
5,task09-episode000-init000-seed7,goal,9,0,0,7,492,completed,succeeded,1,1,0,0,0,0,1,completed,True,127,13,16.91573940590024,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-goal-task00-task09-v1/batch-libero-goal-20260803T141528743971Z/episodes/task09-episode000-init000-seed7/episode-libero-goal-task09-seed7-20260803T141645Z,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-goal-task00-task09-v1/batch-libero-goal-20260803T141528743971Z/episodes/task09-episode000-init000-seed7/episode-libero-goal-task09-seed7-20260803T141645Z/episode.mp4,False,,
6,task09-episode001-init001-seed7,goal,9,1,1,7,493,completed,succeeded,1,1,0,0,0,0,1,completed,True,128,13,15.283362865447998,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-goal-task00-task09-v1/batch-libero-goal-20260803T141528743971Z/episodes/task09-episode001-init001-seed7/episode-libero-goal-task09-seed7-20260803T141702Z,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-goal-task00-task09-v1/batch-libero-goal-20260803T141528743971Z/episodes/task09-episode001-init001-seed7/episode-libero-goal-task09-seed7-20260803T141702Z/episode.mp4,False,,
7,task09-episode002-init002-seed7,goal,9,2,2,7,494,completed,succeeded,1,1,0,0,0,0,1,completed,True,125,13,17.747196352109313,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-goal-task00-task09-v1/batch-libero-goal-20260803T141528743971Z/episodes/task09-episode002-init002-seed7/episode-libero-goal-task09-seed7-20260803T141717Z,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-goal-task00-task09-v1/batch-libero-goal-20260803T141528743971Z/episodes/task09-episode002-init002-seed7/episode-libero-goal-task09-seed7-20260803T141717Z/episode.mp4,False,,
8,task09-episode003-init003-seed7,goal,9,3,3,7,495,completed,succeeded,1,1,0,0,0,0,1,completed,True,122,13,16.223452538251877,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-goal-task00-task09-v1/batch-libero-goal-20260803T141528743971Z/episodes/task09-episode003-init003-seed7/episode-libero-goal-task09-seed7-20260803T141735Z,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-goal-task00-task09-v1/batch-libero-goal-20260803T141528743971Z/episodes/task09-episode003-init003-seed7/episode-libero-goal-task09-seed7-20260803T141735Z/episode.mp4,False,,
9,task09-episode004-init004-seed7,goal,9,4,4,7,496,completed,succeeded,1,1,0,0,0,0,1,completed,True,120,12,15.311093082651496,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-goal-task00-task09-v1/batch-libero-goal-20260803T141528743971Z/episodes/task09-episode004-init004-seed7/episode-libero-goal-task09-seed7-20260803T141751Z,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-goal-task00-task09-v1/batch-libero-goal-20260803T141528743971Z/episodes/task09-episode004-init004-seed7/episode-libero-goal-task09-seed7-20260803T141751Z/episode.mp4,False,,
