task,query,rows,positives,negatives,pairs
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,7,160,160,0,0
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,8,160,159,1,159
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,9,160,49,111,5439
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,10,160,0,160,0
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,11,160,0,160,0
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,12,160,0,160,0
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,13,160,0,160,0
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,14,160,0,160,0
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,15,160,13,147,1911
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,16,160,39,121,4719
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,17,160,96,64,6144
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,18,160,128,32,4096
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,19,160,147,13,1911
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,20,160,156,4,624
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,21,160,156,4,624
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,22,159,152,7,1064
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,23,137,132,5,660
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,24,102,98,4,392
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,25,63,62,1,62
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,26,37,36,1,36
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,27,12,11,1,11
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,28,5,4,1,4
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,29,4,3,1,3
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,30,1,0,1,0
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,31,1,0,1,0
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,32,1,0,1,0
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,33,1,0,1,0
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,34,1,0,1,0
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,35,1,0,1,0
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,36,1,0,1,0
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,37,1,0,1,0
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,38,1,0,1,0
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,39,1,0,1,0
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,40,1,0,1,0
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,41,1,0,1,0
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,42,1,0,1,0
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,43,1,0,1,0
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,44,1,0,1,0
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,45,1,0,1,0
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,46,1,0,1,0
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,7,160,156,4,624
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,8,160,159,1,159
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,9,160,156,4,624
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,10,160,109,51,5559
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,11,160,158,2,316
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,12,160,160,0,0
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,13,160,160,0,0
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,14,160,52,108,5616
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,15,160,2,158,316
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,16,160,42,118,4956
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,17,160,112,48,5376
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,18,160,135,25,3375
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,19,160,139,21,2919
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,20,160,144,16,2304
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,21,118,109,9,981
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,22,48,44,4,176
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,23,25,21,4,84
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,24,21,17,4,68
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,25,16,12,4,48
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,26,9,5,4,20
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,27,4,1,3,3
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,28,4,1,3,3
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,29,4,1,3,3
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,30,4,1,3,3
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,31,4,1,3,3
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,32,3,0,3,0
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,33,3,0,3,0
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,34,3,0,3,0
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,35,3,0,3,0
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,36,3,0,3,0
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,37,3,0,3,0
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,38,3,0,3,0
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,39,3,0,3,0
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,40,3,0,3,0
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,41,3,0,3,0
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,42,3,0,3,0
