global_row,task,init_state_id,episode,source,score,peak_query,descending_rank,method,fold
801,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,1,cache_new/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-50x8-20260903,2.1338112354278564,11,1,knn20,libero_goal_full_0
1115,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,39,315,cache_new/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-50x8-20260903,2.048833131790161,18,2,knn20,libero_goal_full_0
4801,libero_goal/put_the_cream_cheese_in_the_bowl,0,1,cache_new/HiMoE-VLA/libero_goal/put_the_cream_cheese_in_the_bowl/right-50x8-20260903,1.9599847793579102,8,3,knn20,libero_goal_full_0
1767,libero_goal/push_the_plate_to_the_front_of_the_stove,20,167,cache_new/HiMoE-VLA/libero_goal/push_the_plate_to_the_front_of_the_stove/right-50x8-20260903,1.9442393779754639,13,4,knn20,libero_goal_full_0
7206,libero_goal/turn_on_the_stove,0,6,cache_new/HiMoE-VLA/libero_goal/turn_on_the_stove/right-50x8-20260903,1.925572395324707,8,5,knn20,libero_goal_full_0
1135,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,41,335,cache_new/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-50x8-20260903,1.8685535192489624,17,6,knn20,libero_goal_full_0
1138,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,42,338,cache_new/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-50x8-20260903,1.8313120603561401,15,7,knn20,libero_goal_full_0
886,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,10,86,cache_new/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-50x8-20260903,1.7269262075424194,17,8,knn20,libero_goal_full_0
1602,libero_goal/push_the_plate_to_the_front_of_the_stove,0,2,cache_new/HiMoE-VLA/libero_goal/push_the_plate_to_the_front_of_the_stove/right-50x8-20260903,1.671951174736023,13,9,knn20,libero_goal_full_0
1940,libero_goal/push_the_plate_to_the_front_of_the_stove,42,340,cache_new/HiMoE-VLA/libero_goal/push_the_plate_to_the_front_of_the_stove/right-50x8-20260903,1.6587046384811401,11,10,knn20,libero_goal_full_0
1912,libero_goal/push_the_plate_to_the_front_of_the_stove,39,312,cache_new/HiMoE-VLA/libero_goal/push_the_plate_to_the_front_of_the_stove/right-50x8-20260903,1.5849415063858032,12,11,knn20,libero_goal_full_0
961,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,20,161,cache_new/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-50x8-20260903,1.5669502019882202,11,12,knn20,libero_goal_full_0
1812,libero_goal/push_the_plate_to_the_front_of_the_stove,26,212,cache_new/HiMoE-VLA/libero_goal/push_the_plate_to_the_front_of_the_stove/right-50x8-20260903,1.5053021907806396,11,13,knn20,libero_goal_full_0
5132,libero_goal/put_the_cream_cheese_in_the_bowl,41,332,cache_new/HiMoE-VLA/libero_goal/put_the_cream_cheese_in_the_bowl/right-50x8-20260903,1.4756523370742798,9,14,knn20,libero_goal_full_0
1867,libero_goal/push_the_plate_to_the_front_of_the_stove,33,267,cache_new/HiMoE-VLA/libero_goal/push_the_plate_to_the_front_of_the_stove/right-50x8-20260903,1.4752473831176758,13,15,knn20,libero_goal_full_0
1011,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,26,211,cache_new/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-50x8-20260903,1.4627642631530762,18,16,knn20,libero_goal_full_0
4887,libero_goal/put_the_cream_cheese_in_the_bowl,10,87,cache_new/HiMoE-VLA/libero_goal/put_the_cream_cheese_in_the_bowl/right-50x8-20260903,1.4410767555236816,8,17,knn20,libero_goal_full_0
905,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,13,105,cache_new/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-50x8-20260903,1.4265071153640747,16,18,knn20,libero_goal_full_0
1707,libero_goal/push_the_plate_to_the_front_of_the_stove,13,107,cache_new/HiMoE-VLA/libero_goal/push_the_plate_to_the_front_of_the_stove/right-50x8-20260903,1.4215459823608398,13,19,knn20,libero_goal_full_0
1067,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,33,267,cache_new/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-50x8-20260903,1.3855187892913818,18,20,knn20,libero_goal_full_0
5012,libero_goal/put_the_cream_cheese_in_the_bowl,26,212,cache_new/HiMoE-VLA/libero_goal/put_the_cream_cheese_in_the_bowl/right-50x8-20260903,1.3818928003311157,8,21,knn20,libero_goal_full_0
4961,libero_goal/put_the_cream_cheese_in_the_bowl,20,161,cache_new/HiMoE-VLA/libero_goal/put_the_cream_cheese_in_the_bowl/right-50x8-20260903,1.3800419569015503,9,22,knn20,libero_goal_full_0
7465,libero_goal/turn_on_the_stove,33,265,cache_new/HiMoE-VLA/libero_goal/turn_on_the_stove/right-50x8-20260903,1.2782366275787354,7,23,knn20,libero_goal_full_0
4905,libero_goal/put_the_cream_cheese_in_the_bowl,13,105,cache_new/HiMoE-VLA/libero_goal/put_the_cream_cheese_in_the_bowl/right-50x8-20260903,1.2594650983810425,8,24,knn20,libero_goal_full_0
1683,libero_goal/push_the_plate_to_the_front_of_the_stove,10,83,cache_new/HiMoE-VLA/libero_goal/push_the_plate_to_the_front_of_the_stove/right-50x8-20260903,1.2471288442611694,11,25,knn20,libero_goal_full_0
5068,libero_goal/put_the_cream_cheese_in_the_bowl,33,268,cache_new/HiMoE-VLA/libero_goal/put_the_cream_cheese_in_the_bowl/right-50x8-20260903,1.2114404439926147,9,26,knn20,libero_goal_full_0
4215,libero_goal/put_the_bowl_on_top_of_the_cabinet,26,215,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_top_of_the_cabinet/right-50x8-20260903,1.207558035850525,9,27,knn20,libero_goal_full_0
3360,libero_goal/put_the_bowl_on_the_stove,20,160,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_the_stove/right-50x8-20260903,1.207188367843628,8,28,knn20,libero_goal_full_0
2506,libero_goal/put_the_bowl_on_the_plate,13,106,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_the_plate/right-50x8-20260903,1.178556203842163,8,29,knn20,libero_goal_full_0
1928,libero_goal/push_the_plate_to_the_front_of_the_stove,41,328,cache_new/HiMoE-VLA/libero_goal/push_the_plate_to_the_front_of_the_stove/right-50x8-20260903,1.176550030708313,11,30,knn20,libero_goal_full_0
1924,libero_goal/push_the_plate_to_the_front_of_the_stove,40,324,cache_new/HiMoE-VLA/libero_goal/push_the_plate_to_the_front_of_the_stove/right-50x8-20260903,1.148271083831787,11,31,knn20,libero_goal_full_0
4000,libero_goal/put_the_bowl_on_top_of_the_cabinet,0,0,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_top_of_the_cabinet/right-50x8-20260903,1.1124943494796753,8,32,knn20,libero_goal_full_0
4328,libero_goal/put_the_bowl_on_top_of_the_cabinet,41,328,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_top_of_the_cabinet/right-50x8-20260903,1.1061679124832153,8,33,knn20,libero_goal_full_0
7310,libero_goal/turn_on_the_stove,13,110,cache_new/HiMoE-VLA/libero_goal/turn_on_the_stove/right-50x8-20260903,1.096627950668335,7,34,knn20,libero_goal_full_0
5123,libero_goal/put_the_cream_cheese_in_the_bowl,40,323,cache_new/HiMoE-VLA/libero_goal/put_the_cream_cheese_in_the_bowl/right-50x8-20260903,1.0716251134872437,8,35,knn20,libero_goal_full_0
1127,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,40,327,cache_new/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-50x8-20260903,1.0494370460510254,16,36,knn20,libero_goal_full_0
2608,libero_goal/put_the_bowl_on_the_plate,26,208,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_the_plate/right-50x8-20260903,1.045809030532837,7,37,knn20,libero_goal_full_0
