task,head,quantile,threshold,reference_episodes,outcomes_used
libero_goal/open_the_middle_drawer_of_the_cabinet,lock,0.75,-0.026698313653469086,400,False
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,lock,0.75,-0.0307140052318573,400,False
libero_goal/push_the_plate_to_the_front_of_the_stove,lock,0.75,-0.021161146461963654,400,False
libero_goal/put_the_bowl_on_the_plate,lock,0.75,-0.041953280568122864,400,False
libero_goal/put_the_bowl_on_the_stove,lock,0.75,-0.038419850170612335,400,False
libero_goal/put_the_bowl_on_top_of_the_cabinet,lock,0.75,-0.03840716928243637,400,False
libero_goal/put_the_cream_cheese_in_the_bowl,lock,0.75,-0.03527211397886276,400,False
libero_goal/put_the_wine_bottle_on_the_rack,lock,0.75,-0.030139422044157982,400,False
libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,lock,0.75,-0.0354737713932991,400,False
libero_goal/turn_on_the_stove,lock,0.75,-0.036361221224069595,400,False
libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,lock,0.75,-0.03632579743862152,400,False
libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,lock,0.75,-0.03381849825382233,400,False
libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,lock,0.75,-0.03693521395325661,400,False
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,lock,0.75,-0.024910718202590942,400,False
libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,lock,0.75,-0.0401819683611393,400,False
libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,lock,0.75,-0.034343015402555466,400,False
libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,lock,0.75,-0.03718768060207367,400,False
libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,lock,0.75,-0.0333075225353241,400,False
libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,lock,0.75,-0.03350129723548889,400,False
libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,lock,0.75,-0.025279469788074493,400,False
libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,lock,0.75,-0.03163066506385803,400,False
libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,lock,0.75,-0.04105937480926514,400,False
libero_object/pick_up_the_butter_and_place_it_in_the_basket,lock,0.75,-0.03270930051803589,400,False
libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,lock,0.75,-0.04140125960111618,400,False
libero_object/pick_up_the_ketchup_and_place_it_in_the_basket,lock,0.75,-0.03142697364091873,400,False
libero_object/pick_up_the_milk_and_place_it_in_the_basket,lock,0.75,-0.03292781114578247,400,False
libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket,lock,0.75,-0.03561219573020935,400,False
libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket,lock,0.75,-0.03830878436565399,400,False
libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket,lock,0.75,-0.04208993911743164,400,False
libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,lock,0.75,-0.07559014856815338,400,False
libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,lock,0.75,-0.05902126431465149,400,False
libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,lock,0.75,-0.051894426345825195,400,False
libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,lock,0.75,-0.059266068041324615,400,False
libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,lock,0.75,-0.0614393949508667,400,False
libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,lock,0.75,-0.05732916295528412,400,False
libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,lock,0.75,-0.07241296023130417,400,False
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,lock,0.75,-0.06807388365268707,400,False
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,lock,0.75,-0.04868035763502121,400,False
libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,lock,0.75,-0.04959063231945038,400,False
libero_goal/open_the_middle_drawer_of_the_cabinet,instability,0.8,0.03650738298892975,400,False
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,instability,0.8,0.04171736538410187,400,False
libero_goal/push_the_plate_to_the_front_of_the_stove,instability,0.8,0.03216279670596123,400,False
libero_goal/put_the_bowl_on_the_plate,instability,0.8,0.049086302518844604,400,False
libero_goal/put_the_bowl_on_the_stove,instability,0.8,0.043614622205495834,400,False
libero_goal/put_the_bowl_on_top_of_the_cabinet,instability,0.8,0.043261222541332245,400,False
