global_row,source,episode,task,suite,failure,length,v7_peak,v8_fixed_peak,v82_peak
400,cache_new/HiMoE-VLA/libero_goal/open_the_middle_drawer_of_the_cabinet/right-50x8b-20260903,0,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,False,13,0.60854286,2.1031013,2.2908747
401,cache_new/HiMoE-VLA/libero_goal/open_the_middle_drawer_of_the_cabinet/right-50x8b-20260903,1,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,False,13,0.6790502,2.3493588,2.5371323
402,cache_new/HiMoE-VLA/libero_goal/open_the_middle_drawer_of_the_cabinet/right-50x8b-20260903,2,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,False,13,0.6124051,1.8684785,2.056252
403,cache_new/HiMoE-VLA/libero_goal/open_the_middle_drawer_of_the_cabinet/right-50x8b-20260903,3,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,False,13,0.63551784,2.605629,2.7934027
404,cache_new/HiMoE-VLA/libero_goal/open_the_middle_drawer_of_the_cabinet/right-50x8b-20260903,4,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,False,13,0.5825262,2.121558,2.2751908
405,cache_new/HiMoE-VLA/libero_goal/open_the_middle_drawer_of_the_cabinet/right-50x8b-20260903,5,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,False,13,0.7036362,2.3080964,2.49587
406,cache_new/HiMoE-VLA/libero_goal/open_the_middle_drawer_of_the_cabinet/right-50x8b-20260903,6,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,False,13,0.72314423,2.821407,3.0091805
407,cache_new/HiMoE-VLA/libero_goal/open_the_middle_drawer_of_the_cabinet/right-50x8b-20260903,7,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,False,15,2.2067397,3.20704,3.4289544
408,cache_new/HiMoE-VLA/libero_goal/open_the_middle_drawer_of_the_cabinet/right-50x8b-20260903,8,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,False,11,0.1570285,0.7573047,0.9117187
409,cache_new/HiMoE-VLA/libero_goal/open_the_middle_drawer_of_the_cabinet/right-50x8b-20260903,9,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,False,12,0.36404032,1.3330058,1.5045768
410,cache_new/HiMoE-VLA/libero_goal/open_the_middle_drawer_of_the_cabinet/right-50x8b-20260903,10,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,False,12,0.13906263,1.2271394,1.3643962
411,cache_new/HiMoE-VLA/libero_goal/open_the_middle_drawer_of_the_cabinet/right-50x8b-20260903,11,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,False,12,0.18140689,1.4012897,1.5557036
412,cache_new/HiMoE-VLA/libero_goal/open_the_middle_drawer_of_the_cabinet/right-50x8b-20260903,12,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,False,12,0.29290503,1.3017229,1.473294
