phenotype,rank,task,episode,init_state_id,flow_noise_seed,primary_behavior,severity_metric,severity_value
stagnation,1,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,70,8,1006,stagnation,longest_static_pre90_fraction,0.8076923076923077
stagnation,2,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,389,48,1005,stagnation,longest_static_pre90_fraction,0.5217391304347826
stagnation,3,libero_goal/put_the_bowl_on_top_of_the_cabinet,40,5,1000,regrasp_or_drop,longest_static_pre90_fraction,0.4615384615384615
stagnation,4,libero_goal/put_the_bowl_on_top_of_the_cabinet,314,39,1002,regrasp_or_drop,longest_static_pre90_fraction,0.4615384615384615
stagnation,5,libero_object/pick_up_the_milk_and_place_it_in_the_basket,108,13,1004,stagnation,longest_static_pre90_fraction,0.4583333333333333
stagnation,6,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,261,32,1005,stagnation,longest_static_pre90_fraction,0.4565217391304347
stagnation,7,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,246,30,1006,stagnation,longest_static_pre90_fraction,0.4565217391304347
stagnation,8,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,397,49,1005,stagnation,longest_static_pre90_fraction,0.4347826086956521
gripper_cycling,1,libero_goal/put_the_cream_cheese_in_the_bowl,0,0,1000,gripper_cycling,gripper_flip_rate,0.5517241379310345
gripper_cycling,2,libero_goal/put_the_cream_cheese_in_the_bowl,2,0,1002,gripper_cycling,gripper_flip_rate,0.5517241379310345
gripper_cycling,3,libero_goal/put_the_cream_cheese_in_the_bowl,4,0,1004,gripper_cycling,gripper_flip_rate,0.5517241379310345
gripper_cycling,4,libero_goal/put_the_cream_cheese_in_the_bowl,7,0,1007,gripper_cycling,gripper_flip_rate,0.5517241379310345
gripper_cycling,5,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,68,8,1004,regrasp_or_drop,gripper_flip_rate,0.5185185185185185
gripper_cycling,6,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,246,30,1006,gripper_cycling,gripper_flip_rate,0.5185185185185185
