fold,suite,seed,reference_cap,method,calibration,alpha,scope,task,episodes,failures,successes,tp,fp,recall,fpr,precision,balanced_accuracy,t_det,median_alarm_query
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,0.05,seen,libero_goal/open_the_middle_drawer_of_the_cabinet,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,0.05,seen,libero_goal/push_the_plate_to_the_front_of_the_stove,80,1,79,1,0,1.0,0.0,1.0,1.0,0.7,20.0
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,0.05,seen,libero_goal/put_the_bowl_on_top_of_the_cabinet,80,3,77,3,2,1.0,0.025974025974025976,0.6,0.987012987012987,0.35555555555555557,10.0
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,0.05,seen,libero_goal/put_the_cream_cheese_in_the_bowl,80,8,72,7,0,0.875,0.0,1.0,0.9375,0.5375,12.0
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,0.05,seen,libero_goal/put_the_wine_bottle_on_the_rack,80,0,80,0,2,,0.025,0.0,,,
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,0.05,seen,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,80,0,80,0,2,,0.025,0.0,,,
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,0.05,seen,libero_goal/turn_on_the_stove,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,0.05,unseen,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,400,51,349,45,94,0.8823529411764706,0.2693409742120344,0.3237410071942446,0.8065059834822181,0.7163398692810458,20.0
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,0.05,unseen,libero_goal/put_the_bowl_on_the_plate,400,18,382,18,8,1.0,0.020942408376963352,0.6923076923076923,0.9895287958115183,0.5203703703703704,12.5
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,0.05,unseen,libero_goal/put_the_bowl_on_the_stove,400,9,391,5,24,0.5555555555555556,0.061381074168797956,0.1724137931034483,0.7470872406933788,0.7925925925925925,22.0
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,task_init,0.05,seen,libero_goal/open_the_middle_drawer_of_the_cabinet,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,task_init,0.05,seen,libero_goal/push_the_plate_to_the_front_of_the_stove,80,1,79,1,0,1.0,0.0,1.0,1.0,0.7,20.0
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,task_init,0.05,seen,libero_goal/put_the_bowl_on_top_of_the_cabinet,80,3,77,3,2,1.0,0.025974025974025976,0.6,0.987012987012987,0.35555555555555557,10.0
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,task_init,0.05,seen,libero_goal/put_the_cream_cheese_in_the_bowl,80,8,72,7,0,0.875,0.0,1.0,0.9375,0.5375,12.0
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,task_init,0.05,seen,libero_goal/put_the_wine_bottle_on_the_rack,80,0,80,0,2,,0.025,0.0,,,
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,task_init,0.05,seen,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,80,0,80,0,2,,0.025,0.0,,,
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,task_init,0.05,seen,libero_goal/turn_on_the_stove,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,task_init,0.05,unseen,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,400,51,349,45,94,0.8823529411764706,0.2693409742120344,0.3237410071942446,0.8065059834822181,0.7163398692810458,20.0
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,task_init,0.05,unseen,libero_goal/put_the_bowl_on_the_plate,400,18,382,18,8,1.0,0.020942408376963352,0.6923076923076923,0.9895287958115183,0.5203703703703704,12.5
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,task_init,0.05,unseen,libero_goal/put_the_bowl_on_the_stove,400,9,391,5,24,0.5555555555555556,0.061381074168797956,0.1724137931034483,0.7470872406933788,0.7925925925925925,22.0
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__cumsum,episode,0.05,seen,libero_goal/open_the_middle_drawer_of_the_cabinet,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__cumsum,episode,0.05,seen,libero_goal/push_the_plate_to_the_front_of_the_stove,80,1,79,1,0,1.0,0.0,1.0,1.0,0.7,20.0
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__cumsum,episode,0.05,seen,libero_goal/put_the_bowl_on_top_of_the_cabinet,80,3,77,3,2,1.0,0.025974025974025976,0.6,0.987012987012987,0.35555555555555557,10.0
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__cumsum,episode,0.05,seen,libero_goal/put_the_cream_cheese_in_the_bowl,80,8,72,7,0,0.875,0.0,1.0,0.9375,0.5375,12.0
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__cumsum,episode,0.05,seen,libero_goal/put_the_wine_bottle_on_the_rack,80,0,80,0,2,,0.025,0.0,,,
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__cumsum,episode,0.05,seen,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,80,0,80,0,2,,0.025,0.0,,,
