fold,clusters,cluster,task,points
libero_goal_full_0,1,0,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,1319
libero_goal_full_0,1,0,libero_goal/push_the_plate_to_the_front_of_the_stove,1219
libero_goal_full_0,1,0,libero_goal/put_the_bowl_on_the_plate,185
libero_goal_full_0,1,0,libero_goal/put_the_bowl_on_the_stove,396
libero_goal_full_0,1,0,libero_goal/put_the_bowl_on_top_of_the_cabinet,363
libero_goal_full_0,1,0,libero_goal/put_the_cream_cheese_in_the_bowl,459
libero_goal_full_0,1,0,libero_goal/turn_on_the_stove,155
libero_goal_full_0,2,0,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,1266
libero_goal_full_0,2,0,libero_goal/push_the_plate_to_the_front_of_the_stove,172
libero_goal_full_0,2,0,libero_goal/put_the_bowl_on_the_plate,185
libero_goal_full_0,2,0,libero_goal/put_the_bowl_on_the_stove,395
libero_goal_full_0,2,0,libero_goal/put_the_bowl_on_top_of_the_cabinet,194
libero_goal_full_0,2,0,libero_goal/put_the_cream_cheese_in_the_bowl,459
libero_goal_full_0,2,0,libero_goal/turn_on_the_stove,155
libero_goal_full_0,2,1,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,53
libero_goal_full_0,2,1,libero_goal/push_the_plate_to_the_front_of_the_stove,1047
libero_goal_full_0,2,1,libero_goal/put_the_bowl_on_the_stove,1
libero_goal_full_0,2,1,libero_goal/put_the_bowl_on_top_of_the_cabinet,169
libero_goal_full_0,4,0,libero_goal/push_the_plate_to_the_front_of_the_stove,689
libero_goal_full_0,4,1,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,1079
libero_goal_full_0,4,1,libero_goal/push_the_plate_to_the_front_of_the_stove,80
libero_goal_full_0,4,1,libero_goal/put_the_bowl_on_the_plate,184
libero_goal_full_0,4,1,libero_goal/put_the_bowl_on_the_stove,250
libero_goal_full_0,4,1,libero_goal/put_the_bowl_on_top_of_the_cabinet,115
libero_goal_full_0,4,1,libero_goal/put_the_cream_cheese_in_the_bowl,55
libero_goal_full_0,4,1,libero_goal/turn_on_the_stove,139
libero_goal_full_0,4,2,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,37
libero_goal_full_0,4,2,libero_goal/push_the_plate_to_the_front_of_the_stove,31
libero_goal_full_0,4,2,libero_goal/put_the_bowl_on_the_plate,1
libero_goal_full_0,4,2,libero_goal/put_the_bowl_on_the_stove,1
libero_goal_full_0,4,2,libero_goal/put_the_cream_cheese_in_the_bowl,404
libero_goal_full_0,4,2,libero_goal/turn_on_the_stove,16
libero_goal_full_0,4,3,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,203
libero_goal_full_0,4,3,libero_goal/push_the_plate_to_the_front_of_the_stove,419
libero_goal_full_0,4,3,libero_goal/put_the_bowl_on_the_stove,145
libero_goal_full_0,4,3,libero_goal/put_the_bowl_on_top_of_the_cabinet,248
libero_goal_full_0,8,0,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,234
libero_goal_full_0,8,0,libero_goal/push_the_plate_to_the_front_of_the_stove,41
libero_goal_full_0,8,0,libero_goal/put_the_bowl_on_the_plate,11
libero_goal_full_0,8,0,libero_goal/put_the_bowl_on_the_stove,15
libero_goal_full_0,8,0,libero_goal/put_the_bowl_on_top_of_the_cabinet,1
libero_goal_full_0,8,0,libero_goal/put_the_cream_cheese_in_the_bowl,27
libero_goal_full_0,8,0,libero_goal/turn_on_the_stove,62
libero_goal_full_0,8,1,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,7
libero_goal_full_0,8,1,libero_goal/push_the_plate_to_the_front_of_the_stove,420
libero_goal_full_0,8,1,libero_goal/put_the_bowl_on_top_of_the_cabinet,1
libero_goal_full_0,8,2,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,705
libero_goal_full_0,8,2,libero_goal/push_the_plate_to_the_front_of_the_stove,9
libero_goal_full_0,8,2,libero_goal/put_the_bowl_on_the_stove,8
libero_goal_full_0,8,2,libero_goal/put_the_bowl_on_top_of_the_cabinet,3
libero_goal_full_0,8,2,libero_goal/put_the_cream_cheese_in_the_bowl,9
libero_goal_full_0,8,3,libero_goal/push_the_plate_to_the_front_of_the_stove,193
libero_goal_full_0,8,4,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,268
libero_goal_full_0,8,4,libero_goal/push_the_plate_to_the_front_of_the_stove,30
libero_goal_full_0,8,4,libero_goal/put_the_bowl_on_the_plate,174
libero_goal_full_0,8,4,libero_goal/put_the_bowl_on_the_stove,225
libero_goal_full_0,8,4,libero_goal/put_the_bowl_on_top_of_the_cabinet,96
