reference_seed_group,evaluation_seed_group,role,task,suite,episode,episode_length,success,failure,alarm,first_alarm_query,first_alarm_phase,alarm_cause,episode_max_confidence,fixed_clock_query,fixed_clock_alarm
seed1008_1015,seed1008_1015,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,0,13,True,False,False,,,,0.21978644232324862,39,False
seed1008_1015,seed1008_1015,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,1,13,True,False,False,,,,0.17303025400420646,39,False
seed1008_1015,seed1008_1015,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,2,13,True,False,False,,,,0.20563015693253517,39,False
seed1008_1015,seed1008_1015,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,3,13,True,False,False,,,,0.1754570457854716,39,False
seed1008_1015,seed1008_1015,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,4,13,True,False,False,,,,0.1845170684355283,39,False
seed1008_1015,seed1008_1015,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,5,13,True,False,False,,,,0.23046432616081536,39,False
seed1008_1015,seed1008_1015,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,6,13,True,False,False,,,,0.17917812651674492,39,False
seed1008_1015,seed1008_1015,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,7,15,True,False,False,,,,0.6058081216631612,39,False
seed1008_1015,seed1008_1015,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,8,11,True,False,False,,,,0.16761041902604756,39,False
seed1008_1015,seed1008_1015,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,9,12,True,False,False,,,,0.15491020870409322,39,False
seed1008_1015,seed1008_1015,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,10,12,True,False,False,,,,0.12473709755702955,39,False
seed1008_1015,seed1008_1015,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,11,12,True,False,False,,,,0.15118912797281991,39,False
seed1008_1015,seed1008_1015,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,12,12,True,False,False,,,,0.14851965701342829,39,False
seed1008_1015,seed1008_1015,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,13,12,True,False,False,,,,0.1628377285228927,39,False
seed1008_1015,seed1008_1015,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,14,12,True,False,False,,,,0.16558809254165996,39,False
seed1008_1015,seed1008_1015,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,15,12,True,False,False,,,,0.1288626435851804,39,False
seed1008_1015,seed1008_1015,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,16,12,True,False,False,,,,0.11325028312570784,39,False
seed1008_1015,seed1008_1015,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,17,12,True,False,False,,,,0.09464487946934153,39,False
seed1008_1015,seed1008_1015,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,18,13,True,False,False,,,,0.1165668985601035,39,False
seed1008_1015,seed1008_1015,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,19,12,True,False,False,,,,0.12756835463517235,39,False
seed1008_1015,seed1008_1015,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,20,12,True,False,False,,,,0.13331176185083315,39,False
seed1008_1015,seed1008_1015,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,21,12,True,False,False,,,,0.11090438440381811,39,False
seed1008_1015,seed1008_1015,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,22,12,True,False,False,,,,0.0762821549911018,39,False
seed1008_1015,seed1008_1015,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,23,12,True,False,False,,,,0.0736935770910856,39,False
seed1008_1015,seed1008_1015,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,24,12,True,False,False,,,,0.12878175052580487,39,False
seed1008_1015,seed1008_1015,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,25,12,True,False,False,,,,0.12190584047888686,39,False
seed1008_1015,seed1008_1015,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,26,13,True,False,False,,,,0.1363048050477269,39,False
seed1008_1015,seed1008_1015,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,27,12,True,False,False,,,,0.18322277948552013,39,False
seed1008_1015,seed1008_1015,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,28,12,True,False,False,,,,0.16639702313541493,39,False
seed1008_1015,seed1008_1015,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,29,12,True,False,False,,,,0.13492962303834333,39,False
seed1008_1015,seed1008_1015,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,30,12,True,False,False,,,,0.1376799870571105,39,False
seed1008_1015,seed1008_1015,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,31,12,True,False,False,,,,0.12619317262578866,39,False
seed1008_1015,seed1008_1015,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,32,12,True,False,False,,,,0.08493771234428082,39,False
seed1008_1015,seed1008_1015,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,33,12,True,False,False,,,,0.0751496521598447,39,False
seed1008_1015,seed1008_1015,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,34,12,True,False,False,,,,0.06819284905355116,39,False
seed1008_1015,seed1008_1015,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,35,12,True,False,False,,,,0.13306908267270667,39,False
seed1008_1015,seed1008_1015,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,36,12,True,False,False,,,,0.11090438440381811,39,False
seed1008_1015,seed1008_1015,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,37,12,True,False,False,,,,0.08461414010677881,39,False
seed1008_1015,seed1008_1015,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,38,12,True,False,False,,,,0.0885779000161786,39,False
seed1008_1015,seed1008_1015,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,39,12,True,False,False,,,,0.10613169390066335,39,False
seed1008_1015,seed1008_1015,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,40,13,True,False,False,,,,0.17610419026047563,39,False
