rank,claim,strongest_evidence,strongest_threat,survived_task_stratification,verification_status
1,"All 564 external risk episodes run exactly to their suite horizon cap; ""still running at the cap"" predicts risk with precision 564/568 = 0.9930","Recomputed in this audit from episode lengths and caps 30/52/28/22: risk is an exact subset of at-cap, 564/564, with 4 at-cap recorded successes (moe-audit-0906/results/recheck_meta.json). Asserted independently by moe-v7-0905/docs/ALARM_BUDGET §0 and moe-failure-modes-0906 §0.",None. It is a definition plus a verified count. The threat is to everything built on top of it: much of the reported precision is this base rate.,n/a (structural),VERIFIED FROM ARTIFACTS
2,Failure-mode specialisation of detectors is a task confound; only the reference-frame axis (global vs per_task) -> stable_grasp_not_observed survives,"moe-failure-modes-0906 §2,§3: 20/261 -> 2/261 cells across suite vs task strata with SMALLER MDE under task strata; 12/12 paired sign agreement, exact p = 0.00049; contamination mechanism corroborated (Pearson 0.549 between task no_grasp share and task risk rate).",Label confidence is medium for 497 of 523 external sustained failures. The axis produces no early warning (no_grasp early recall 0.035 both ways).,YES,"QUOTED FROM REPORT, NOT INDEPENDENTLY RE-RUN"
3,"Back layers are more rigid, more 1-D ordered, lower-dimensional and more relatively differentiated than front layers","Two bundles, two independent caches: moe-hb-front-back-0905 ratio 6.17 with per-task unanimity 40/40, 39/39, 5/5 and task-bootstrap CI [5.76,7.06]; moe-token-geometry-0906 recomputes 6.00 with 37/37 and adds procrustes/bandedness/shape_pr/lam1_share all unanimous over 76 tasks.","It is a ratio of small residuals after removing a common component that is 0.98-0.998 of the signal; absolute magnitudes are never reported. And FRAME_SURVEY §5 shows the ""state-orthogonal energy 5.37"" row is algebraically the same quantity as the state-action affinity, so the five structure rows are not five independent confirmations.",YES - within-forward-pass AND per-task unanimous,VERIFIED (cross-bundle replication read from artifacts)
4,"The ten denoising steps form a monotone gradient, not two blocks; early steps listen to sampling noise, late steps to observation","moe-flow-semantics-0906 §3,§4,§5: step-axis block score 0.036-0.100 vs layer-axis 0.089-0.245; observation/noise ratio monotone in 8/8 layers; front/back zero-crossing at step 3->4 in BOTH run_ids; 40/40 and 39/39 task sign agreement on seven quantities.",The query-0 identification assumes the same seed gives the same noise tensor across initial states; supported only indirectly. The episode-level ICC diagnostic failed and does not replicate across run_ids.,"YES - within (task, init-state) cells by construction, plus per-task unanimity","QUOTED, with the cross-query ratio range independently reproduced by moe-state-channel-0906 probe1"
5,"Almost every routing-graph quantity is one of two quantities: total residual routing energy, or relative edge shape",moe-circuit-analogy-0906 §3: |Spearman| 0.984-1.0000 for 15 circuit quantities against conditional_energy; internal matrix shows gap_ratio/spectral_erank/kirchhoff_efficiency/res_cv mutually >= 0.992. This audit adds that kernel_trace (geometry bundle) IS conditional_energy - identical survival AUC in 288/288 cells.,None to the redundancy itself. The threat is that the project has been counting the same quantity as independent evidence.,n/a (unsupervised),VERIFIED FROM ARTIFACTS
6,The survival prior alone recovers most of the apparent precision; alarms in the high-prior band carry no information,"moe-v7-0905/docs/SURVIVAL_BASELINE §1,§2: 60.6% of accuracy from ""still running""; libero_spatial lift 0.998 despite precision 0.973; 41.6% of alarms sit in the prior>0.75 band at lift 1.02.","The prior is estimated per suite on the scored cohort. A per-task prior would absorb MORE, so 60.6% is a lower bound.","NO - suite-stratified only, but the direction of the untested correction strengthens the claim",QUOTED FROM REPORT
7,Pre-failure geometric deformation: the token arc loses its 1-D order and the configuration grows,"moe-token-geometry-0906 §6, within-task AUC among survivors: bandedness L5 mean |AUC-0.5| = 0.086 with 8/8 sign consistency dev and ext; size L4 0.076. I reproduced all 288 published cells to < 2e-3.",Effect is small (max |AUC-0.5| = 0.139) and does not convert into a competitive alarm (best geometry global head 61 TP vs mobility 195). size overlaps conditional_effective_rank at 0.755.,YES - the ONLY sizeable effect in the corpus that is task-stratified by construction,VERIFIED (recomputed independently from cached kernels)
8,"Combinations buy coverage, never information density","moe-combination-rules-0906 §1,§3: G-A 288/13 at lift 1.338 vs mobility 195/17 at 1.7641; window ablation shows 0.0% of matched pairs gain an early TP at any W. Confirmed here by scanning 6 bundles: max lift at TP>=150 is 1.7641, at TP>=100 is 1.8711, at TP>=20 is 2.4614.",None; robust and multiply confirmed.,"NO - all pooled, but the claim is deflationary",VERIFIED FROM ARTIFACTS
9,"v7 intrinsic guard reaches 439 TP / 80 FP, task-agnostic at runtime",Reproduced digit-for-digit in at least 8 places across 3 bundles.,"Task-equal-weighted it is 72.30% / 78.14%, not 77.84% / 84.59%. 60.6% of the accuracy is survival base rate. Under leave-one-suite-out with an 8-chunk intervention budget it is 47.34% / 70.63%.",NO,VERIFIED (the number); the CONDITIONS are what is under-reported
10,norm_fiedler is the second strongest single MoE quantity in the project,"moe-circuit-analogy-0906 §4: external L12 survival AUC 0.5969; paired cluster bootstrap beats partial_edge_std by +0.0122 [+0.0102, +0.0143] on external.","RECHECKED HERE: the 0.5969 is suite-stratified. Under task strata the same metric gives 0.5338 - a 65% loss of effect. It is also the ONLY one of the seven ""collapse toward the uniform clique"" invariants that does not flip sign under task strata (the other six do). Of 52 (quantity, layer) cells with suite-stratified |AUC-0.5| >= 0.04, only ONE keeps it under task strata, and that one is norm_fiedler at L15 (0.0479 -> 0.0442).","BARELY - at L15 only, and at a fifth of the headline effect size",REFUTED AS HEADLINED; recomputed in this audit
