level,cohort,suite,task,method,k,failure,episodes,scorable,ratio_bin,count
all,all,all,all,euclidean,1,False,30904,30630,unscorable,274
all,all,all,all,euclidean,1,False,30904,30630,<=0.5,11446
all,all,all,all,euclidean,1,False,30904,30630,"(0.5,1]",15846
all,all,all,all,euclidean,1,False,30904,30630,"(1,1.5]",2528
all,all,all,all,euclidean,1,False,30904,30630,"(1.5,2]",452
all,all,all,all,euclidean,1,False,30904,30630,>2,358
all,all,all,all,euclidean,2,False,30904,30630,unscorable,274
all,all,all,all,euclidean,2,False,30904,30630,<=0.5,11662
all,all,all,all,euclidean,2,False,30904,30630,"(0.5,1]",15744
all,all,all,all,euclidean,2,False,30904,30630,"(1,1.5]",2441
all,all,all,all,euclidean,2,False,30904,30630,"(1.5,2]",423
all,all,all,all,euclidean,2,False,30904,30630,>2,360
all,all,all,all,euclidean,3,False,30904,30630,unscorable,274
all,all,all,all,euclidean,3,False,30904,30630,<=0.5,11927
all,all,all,all,euclidean,3,False,30904,30630,"(0.5,1]",15532
all,all,all,all,euclidean,3,False,30904,30630,"(1,1.5]",2384
all,all,all,all,euclidean,3,False,30904,30630,"(1.5,2]",421
all,all,all,all,euclidean,3,False,30904,30630,>2,366
all,all,all,all,euclidean,4,False,30904,30630,unscorable,274
all,all,all,all,euclidean,4,False,30904,30630,<=0.5,12033
all,all,all,all,euclidean,4,False,30904,30630,"(0.5,1]",15474
all,all,all,all,euclidean,4,False,30904,30630,"(1,1.5]",2340
all,all,all,all,euclidean,4,False,30904,30630,"(1.5,2]",425
all,all,all,all,euclidean,4,False,30904,30630,>2,358
all,all,all,all,euclidean,5,False,30904,30630,unscorable,274
all,all,all,all,euclidean,5,False,30904,30630,<=0.5,12162
all,all,all,all,euclidean,5,False,30904,30630,"(0.5,1]",15377
all,all,all,all,euclidean,5,False,30904,30630,"(1,1.5]",2310
all,all,all,all,euclidean,5,False,30904,30630,"(1.5,2]",431
all,all,all,all,euclidean,5,False,30904,30630,>2,350
all,all,all,all,euclidean,6,False,30904,30630,unscorable,274
all,all,all,all,euclidean,6,False,30904,30630,<=0.5,12322
all,all,all,all,euclidean,6,False,30904,30630,"(0.5,1]",15244
all,all,all,all,euclidean,6,False,30904,30630,"(1,1.5]",2284
all,all,all,all,euclidean,6,False,30904,30630,"(1.5,2]",441
all,all,all,all,euclidean,6,False,30904,30630,>2,339
all,all,all,all,euclidean,7,False,30904,30630,unscorable,274
all,all,all,all,euclidean,7,False,30904,30630,<=0.5,12344
all,all,all,all,euclidean,7,False,30904,30630,"(0.5,1]",15218
all,all,all,all,euclidean,7,False,30904,30630,"(1,1.5]",2286
all,all,all,all,euclidean,7,False,30904,30630,"(1.5,2]",439
all,all,all,all,euclidean,7,False,30904,30630,>2,343
all,all,all,all,euclidean,8,False,30904,30630,unscorable,274
all,all,all,all,euclidean,8,False,30904,30630,<=0.5,12485
all,all,all,all,euclidean,8,False,30904,30630,"(0.5,1]",15113
all,all,all,all,euclidean,8,False,30904,30630,"(1,1.5]",2250
all,all,all,all,euclidean,8,False,30904,30630,"(1.5,2]",438
all,all,all,all,euclidean,8,False,30904,30630,>2,344
all,all,all,all,euclidean,9,False,30904,30630,unscorable,274
all,all,all,all,euclidean,9,False,30904,30630,<=0.5,12674
all,all,all,all,euclidean,9,False,30904,30630,"(0.5,1]",14972
all,all,all,all,euclidean,9,False,30904,30630,"(1,1.5]",2206
all,all,all,all,euclidean,9,False,30904,30630,"(1.5,2]",432
all,all,all,all,euclidean,9,False,30904,30630,>2,346
all,all,all,all,euclidean,10,False,30904,30630,unscorable,274
all,all,all,all,euclidean,10,False,30904,30630,<=0.5,12842
all,all,all,all,euclidean,10,False,30904,30630,"(0.5,1]",14829
all,all,all,all,euclidean,10,False,30904,30630,"(1,1.5]",2182
all,all,all,all,euclidean,10,False,30904,30630,"(1.5,2]",430
all,all,all,all,euclidean,10,False,30904,30630,>2,347
all,all,all,all,euclidean,20,False,30904,30630,unscorable,274
all,all,all,all,euclidean,20,False,30904,30630,<=0.5,14483
all,all,all,all,euclidean,20,False,30904,30630,"(0.5,1]",13393
all,all,all,all,euclidean,20,False,30904,30630,"(1,1.5]",1990
all,all,all,all,euclidean,20,False,30904,30630,"(1.5,2]",453
all,all,all,all,euclidean,20,False,30904,30630,>2,311
all,all,all,all,euclidean,1,True,1096,1096,unscorable,0
all,all,all,all,euclidean,1,True,1096,1096,<=0.5,1
all,all,all,all,euclidean,1,True,1096,1096,"(0.5,1]",112
all,all,all,all,euclidean,1,True,1096,1096,"(1,1.5]",315
all,all,all,all,euclidean,1,True,1096,1096,"(1.5,2]",231
