global_row,source,episode,queries,method,first,max_score_error
122,cache_new/HiMoE-VLA/libero_goal/open_the_middle_drawer_of_the_cabinet/right-50x8-20260903,122,13,v82_reference,-1,7.048249244689941e-06
749,cache_new/HiMoE-VLA/libero_goal/open_the_middle_drawer_of_the_cabinet/right-50x8b-20260903,349,13,recovery_fixed,-1,6.798654794692993e-06
1184,cache_new/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-50x8-20260903,384,19,v82_reference,-1,6.198883056640625e-06
1241,cache_new/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-50x8b-20260903,41,30,v82_reference,28,7.200241088867188e-05
1459,cache_new/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-50x8b-20260903,259,18,v82_reference,-1,9.894371032714844e-06
1679,cache_new/HiMoE-VLA/libero_goal/push_the_plate_to_the_front_of_the_stove/right-50x8-20260903,79,30,v82_reference,-1,1.6927719116210938e-05
2188,cache_new/HiMoE-VLA/libero_goal/push_the_plate_to_the_front_of_the_stove/right-50x8b-20260903,188,23,recovery_fixed,18,2.574920654296875e-05
2304,cache_new/HiMoE-VLA/libero_goal/push_the_plate_to_the_front_of_the_stove/right-50x8b-20260903,304,12,recovery_fixed,-1,2.3126602172851562e-05
2765,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_the_plate/right-50x8-20260903,365,8,v82_reference,-1,2.6300549507141113e-06
2960,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_the_plate/right-50x8b-20260903,160,8,v82_reference,-1,2.1904706954956055e-06
3285,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_the_stove/right-50x8-20260903,85,10,v82_reference,-1,4.194676876068115e-06
3763,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_the_stove/right-50x8b-20260903,163,9,v82_reference,-1,4.909932613372803e-06
4255,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_top_of_the_cabinet/right-50x8-20260903,255,9,v82_reference,-1,7.748603820800781e-06
4487,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_top_of_the_cabinet/right-50x8b-20260903,87,9,v82_reference,-1,5.125999450683594e-06
4867,cache_new/HiMoE-VLA/libero_goal/put_the_cream_cheese_in_the_bowl/right-50x8-20260903,67,10,v82_reference,-1,9.655952453613281e-06
5242,cache_new/HiMoE-VLA/libero_goal/put_the_cream_cheese_in_the_bowl/right-50x8b-20260903,42,9,v82_reference,-1,4.708766937255859e-06
5314,cache_new/HiMoE-VLA/libero_goal/put_the_cream_cheese_in_the_bowl/right-50x8b-20260903,114,17,v82_reference,-1,1.7881393432617188e-06
5315,cache_new/HiMoE-VLA/libero_goal/put_the_cream_cheese_in_the_bowl/right-50x8b-20260903,115,21,v82_reference,-1,6.377696990966797e-06
5316,cache_new/HiMoE-VLA/libero_goal/put_the_cream_cheese_in_the_bowl/right-50x8b-20260903,116,18,v82_reference,-1,1.430511474609375e-06
5318,cache_new/HiMoE-VLA/libero_goal/put_the_cream_cheese_in_the_bowl/right-50x8b-20260903,118,18,v82_reference,-1,3.5762786865234375e-06
5965,cache_new/HiMoE-VLA/libero_goal/put_the_wine_bottle_on_the_rack/right-50x8-20260903,365,12,v82_reference,-1,1.0705552995204926e-06
6222,cache_new/HiMoE-VLA/libero_goal/put_the_wine_bottle_on_the_rack/right-50x8b-20260903,222,14,v82_reference,-1,2.2351741790771484e-06
6673,cache_new/HiMoE-VLA/libero_goal/put_the_wine_bottle_on_top_of_the_cabinet/right-50x8-20260903,273,9,v82_reference,-1,6.854534149169922e-07
7057,cache_new/HiMoE-VLA/libero_goal/put_the_wine_bottle_on_top_of_the_cabinet/right-50x8b-20260903,257,10,v82_reference,-1,6.973743438720703e-06
7349,cache_new/HiMoE-VLA/libero_goal/turn_on_the_stove/right-50x8-20260903,149,7,v82_reference,-1,1.517031341791153e-05
7807,cache_new/HiMoE-VLA/libero_goal/turn_on_the_stove/right-50x8b-20260903,207,7,v82_reference,-1,5.125999450683594e-06
8132,cache_new/HiMoE-VLA/libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it/right-50x8-20260903,132,24,v82_reference,-1,5.424022674560547e-06
8513,cache_new/HiMoE-VLA/libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it/right-50x8b-20260903,113,24,v82_reference,-1,2.682209014892578e-07
8540,cache_new/HiMoE-VLA/libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it/right-50x8b-20260903,140,52,v82_reference,37,4.2438507080078125e-05
8987,cache_new/HiMoE-VLA/libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it/right-50x8-20260903,187,21,v82_reference,-1,1.2516975402832031e-05
9357,cache_new/HiMoE-VLA/libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it/right-50x8b-20260903,157,35,v82_reference,21,5.3882598876953125e-05
9406,cache_new/HiMoE-VLA/libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it/right-50x8b-20260903,206,22,v82_reference,-1,6.079673767089844e-06
9683,cache_new/HiMoE-VLA/libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it/right-50x8-20260903,83,24,v82_reference,-1,5.289912223815918e-06
10263,cache_new/HiMoE-VLA/libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it/right-50x8b-20260903,263,26,v82_reference,-1,5.0961971282958984e-06
10583,cache_new/HiMoE-VLA/libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove/right-50x8-20260903,183,39,v82_reference,-1,2.0503997802734375e-05
10913,cache_new/HiMoE-VLA/libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove/right-50x8b-20260903,113,36,v82_reference,-1,4.172325134277344e-06
11497,cache_new/HiMoE-VLA/libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket/right-50x8-20260903,297,25,v82_reference,-1,7.539987564086914e-06
11937,cache_new/HiMoE-VLA/libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket/right-50x8b-20260903,337,25,v82_reference,-1,1.7285346984863281e-06
12192,cache_new/HiMoE-VLA/libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket/right-50x8-20260903,192,24,v82_reference,-1,2.980232238769531e-07
12551,cache_new/HiMoE-VLA/libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket/right-50x8b-20260903,151,28,recovery_fixed,-1,4.284083843231201e-07
13018,cache_new/HiMoE-VLA/libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket/right-50x8-20260903,218,25,v82_reference,-1,3.4421682357788086e-06
13269,cache_new/HiMoE-VLA/libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket/right-50x8b-20260903,69,26,recovery_fixed,-1,2.086162567138672e-07
13676,cache_new/HiMoE-VLA/libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate/right-50x8-20260903,76,23,v82_reference,-1,4.231929779052734e-06
14117,cache_new/HiMoE-VLA/libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate/right-50x8b-20260903,117,23,v82_reference,-1,9.298324584960938e-06
14429,cache_new/HiMoE-VLA/libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate/right-50x8-20260903,29,21,v82_reference,-1,3.129243850708008e-06
