variable,kind,provenance,effect_statistic,tail,n_g1,n_g2,n_g3,g1,g2,g3,effect_g1_vs_g2,ci_lo,ci_hi,bootstrap_valid_fraction,null_mean,null_sd,perm_p,perm_p_within_task,strat_null_mean,effect_g1_vs_g3,ci_g3_lo,ci_g3_hi,perm_p_westfall_young,perm_p_bh,perm_p_within_task_westfall_young
loop_onset,numeric,taxonomy,cohens_d,two-sided,24,61,171,mean 9.500 / med 8.500 (n=24),mean 26.902 / med 22.000 (n=61),mean 22.205 / med 21.000 (n=171),-1.4264972654638766,-2.5482511278374744,-0.7430532363169058,1.0,0.001186058498842548,0.23894438937400578,0.0004997501249375312,0.05997001499250375,-1.3144557075355232,-1.1673115274282715,-1.7643621729750227,-0.7262358193589914,0.0004997501249375312,0.001561719140429785,0.21889055472263869
loop_onset_fraction,numeric,taxonomy-derived,cohens_d,two-sided,24,61,171,mean 0.352 / med 0.303 (n=24),mean 0.679 / med 0.727 (n=61),mean 0.629 / med 0.654 (n=171),-1.8009918126162991,-3.3990303564022386,-0.6272355995747638,1.0,-0.0005103959502536286,0.2416774093146711,0.0004997501249375312,0.05297351324337831,-1.5129902851198407,-1.3908219802971062,-2.147581288787863,-0.6035676003623417,0.0004997501249375312,0.001561719140429785,0.19940029985007496
near_unfinished_closure_count,numeric,taxonomy,cohens_d,two-sided,24,61,171,mean 4.917 / med 5.000 (n=24),mean 2.213 / med 2.000 (n=61),mean 1.626 / med 1.000 (n=171),1.62386723689215,0.40280121316391565,3.152134049351368,1.0,0.0038368485012344675,0.24563159171298687,0.0004997501249375312,0.40379810094952523,1.5100686628714788,2.6852754036138,1.2208496312830857,4.263962803373522,0.0004997501249375312,0.001561719140429785,0.9550224887556222
queries_after_loop_onset,numeric,taxonomy-derived,cohens_d,two-sided,24,61,171,mean 18.917 / med 20.000 (n=24),mean 11.000 / med 8.000 (n=61),mean 12.871 / med 10.000 (n=171),1.203772069762025,0.37700234168898505,2.221559935321391,1.0,-4.6277600084259516e-05,0.24900383724304706,0.0004997501249375312,0.06946526736631684,1.0179224149270782,0.71242227881275,0.06816442760908858,1.3948111416420985,0.0004997501249375312,0.001561719140429785,0.32983508245877063
suite,categorical,cohort,cramers_v,upper,24,61,171,4 levels [libero_object=10; libero_goal=8; libero_spatial=5],4 levels [libero_long=27; libero_goal=17; libero_spatial=13],4 levels [libero_long=59; libero_spatial=50; libero_goal=47],0.5026121160465673,0.2181548669492355,0.807146484120199,1.0,0.17323333244917716,0.07343879895898459,0.0004997501249375312,1.0,0.5026121160465672,0.3569128838570029,0.16907545446256317,0.646200906144376,0.0004997501249375312,0.001561719140429785,1.0
task,categorical,cohort,cramers_v,upper,24,61,171,10 levels [libero_goal/put_the_cream_cheese_in_the_bowl=7; libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket=5; libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket=3],17 levels [libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove=25; libero_goal/put_the_bowl_on_the_plate=9; libero_goal/open_the_top_drawer_and_put_the_bowl_inside=7],23 levels [libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove=37; libero_goal/open_the_top_drawer_and_put_the_bowl_inside=25; libero_goal/put_the_bowl_on_top_of_the_cabinet=15],0.8487307034163873,0.6420189397828815,0.9496342366759569,1.0,0.48576006430209245,0.05867369326733969,0.0004997501249375312,1.0,0.8487307034163876,0.7020779285832653,0.44358511097679565,0.8377302354538576,0.0004997501249375312,0.001561719140429785,1.0
proxy_grade,categorical,taxonomy,cramers_v,upper,24,61,171,1 levels [objaware=24],2 levels [objaware=36; full=25],2 levels [objaware=134; full=37],0.40488816508945796,0.26481456797623004,0.6588478473403294,0.6345,0.0851682255265675,0.06733236231385478,0.0004997501249375312,,0.40488816508945796,0.18129251934514165,0.10962452180514912,0.34946231719653853,0.0004997501249375312,0.001561719140429785,
behavior_gripper_cycling,binary,taxonomy-derived,risk_difference,two-sided,24,61,171,0.875 (21/24),0.311 (19/61),0.152 (26/171),0.5635245901639344,0.09283099964551578,0.8101216701255399,1.0,0.001038251366120222,0.12014089988992396,0.0004997501249375312,1.0,0.5433777322404373,0.722953216374269,0.4487504018258968,0.8642887409200968,0.0004997501249375312,0.001561719140429785,1.0
behavior_signature,categorical,taxonomy,cramers_v,upper,24,61,171,6 levels [gripper_cycling=10; gripper_cycling;regrasp_or_drop=8; other=2],11 levels [other=29; gripper_cycling;regrasp_or_drop=10; gripper_cycling=8],15 levels [other=74; goal_regression;regrasp_or_drop=25; regrasp_or_drop=14],0.5801506774513927,0.41268778562301217,0.8245348021567466,1.0,0.3733920664288773,0.058468785367856234,0.0014992503748125937,0.5407296351824088,0.5825086283576978,0.6271564924801157,0.4734775316264578,0.7923902316104635,0.010994502748625687,0.0037481259370314842,0.999000499750125
n_queries,numeric,taxonomy,cohens_d,two-sided,24,61,171,mean 28.417 / med 28.000 (n=24),mean 37.902 / med 30.000 (n=61),mean 35.076 / med 30.000 (n=171),-0.8280115656647116,-1.7278294171754547,0.3761437139996225,1.0,0.001101329337072928,0.24183712208532182,0.0014992503748125937,,-0.8280115656647116,-0.5509773932029669,-1.1595790406711846,0.16498098151199175,0.010994502748625687,0.0037481259370314842,
