calibration,method,global_row,suite,task,episode,failure,frozen_first,added_first,combined_first,added_new_alarm
episode,ac_recalibrated,1332,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,132,True,16,15,15,False
episode,ac_recalibrated,1333,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,133,False,16,14,14,False
episode,ac_recalibrated,2078,libero_goal,libero_goal/push_the_plate_to_the_front_of_the_stove,78,False,13,-1,13,False
episode,ac_recalibrated,2188,libero_goal,libero_goal/push_the_plate_to_the_front_of_the_stove,188,False,18,-1,18,False
episode,ac_recalibrated,2189,libero_goal,libero_goal/push_the_plate_to_the_front_of_the_stove,189,False,17,-1,17,False
episode,ac_recalibrated,2389,libero_goal,libero_goal/push_the_plate_to_the_front_of_the_stove,389,False,13,-1,13,False
episode,ac_recalibrated,3058,libero_goal,libero_goal/put_the_bowl_on_the_plate,258,True,-1,20,20,True
episode,ac_recalibrated,3808,libero_goal,libero_goal/put_the_bowl_on_the_stove,208,True,18,17,17,False
episode,ac_recalibrated,5202,libero_goal,libero_goal/put_the_cream_cheese_in_the_bowl,2,True,21,20,20,False
episode,ac_recalibrated,5204,libero_goal,libero_goal/put_the_cream_cheese_in_the_bowl,4,True,21,20,20,False
episode,ac_recalibrated,5205,libero_goal,libero_goal/put_the_cream_cheese_in_the_bowl,5,True,20,19,19,False
episode,ac_recalibrated,5206,libero_goal,libero_goal/put_the_cream_cheese_in_the_bowl,6,True,21,20,20,False
episode,ac_recalibrated,5217,libero_goal,libero_goal/put_the_cream_cheese_in_the_bowl,17,False,11,-1,11,False
episode,ac_recalibrated,5314,libero_goal,libero_goal/put_the_cream_cheese_in_the_bowl,114,False,10,-1,10,False
episode,ac_recalibrated,5315,libero_goal,libero_goal/put_the_cream_cheese_in_the_bowl,115,False,9,-1,9,False
episode,ac_recalibrated,5316,libero_goal,libero_goal/put_the_cream_cheese_in_the_bowl,116,False,11,-1,11,False
episode,ac_recalibrated,5318,libero_goal,libero_goal/put_the_cream_cheese_in_the_bowl,118,False,12,-1,12,False
episode,ac_recalibrated,8684,libero_long,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,284,True,40,23,23,False
episode,ac_recalibrated,8687,libero_long,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,287,False,-1,10,10,True
episode,ac_recalibrated,8719,libero_long,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,319,True,36,32,32,False
episode,ac_recalibrated,8799,libero_long,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,399,False,-1,10,10,True
