suite,figure_label,task
libero_goal,T1,libero_goal/open_the_top_drawer_and_put_the_bowl_inside
libero_goal,T2,libero_goal/put_the_bowl_on_the_plate
libero_goal,T3,libero_goal/put_the_bowl_on_the_stove
libero_long,T1,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it
libero_long,T2,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it
libero_long,T3,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate
libero_object,T1,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket
libero_object,T2,libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket
libero_object,T3,libero_object/pick_up_the_ketchup_and_place_it_in_the_basket
libero_spatial,T1,libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate
libero_spatial,T2,libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate
libero_spatial,T3,libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate
