calibration,method,global_row,suite,task,episode,failure,frozen_first,combined_first,added_new_alarm
episode,ac_reference,1332,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,132,True,16,15,False
episode,ac_reference,1333,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,133,False,16,14,False
episode,ac_reference,2078,libero_goal,libero_goal/push_the_plate_to_the_front_of_the_stove,78,False,13,13,False
episode,ac_reference,2188,libero_goal,libero_goal/push_the_plate_to_the_front_of_the_stove,188,False,18,18,False
episode,ac_reference,2189,libero_goal,libero_goal/push_the_plate_to_the_front_of_the_stove,189,False,17,17,False
episode,ac_reference,2389,libero_goal,libero_goal/push_the_plate_to_the_front_of_the_stove,389,False,13,13,False
episode,ac_reference,3058,libero_goal,libero_goal/put_the_bowl_on_the_plate,258,True,-1,20,True
episode,ac_reference,3808,libero_goal,libero_goal/put_the_bowl_on_the_stove,208,True,18,17,False
episode,ac_reference,5202,libero_goal,libero_goal/put_the_cream_cheese_in_the_bowl,2,True,21,20,False
episode,ac_reference,5204,libero_goal,libero_goal/put_the_cream_cheese_in_the_bowl,4,True,21,20,False
episode,ac_reference,5205,libero_goal,libero_goal/put_the_cream_cheese_in_the_bowl,5,True,20,19,False
episode,ac_reference,5206,libero_goal,libero_goal/put_the_cream_cheese_in_the_bowl,6,True,21,20,False
episode,ac_reference,5217,libero_goal,libero_goal/put_the_cream_cheese_in_the_bowl,17,False,11,11,False
episode,ac_reference,5314,libero_goal,libero_goal/put_the_cream_cheese_in_the_bowl,114,False,10,10,False
episode,ac_reference,5315,libero_goal,libero_goal/put_the_cream_cheese_in_the_bowl,115,False,9,9,False
episode,ac_reference,5316,libero_goal,libero_goal/put_the_cream_cheese_in_the_bowl,116,False,11,11,False
episode,ac_reference,5318,libero_goal,libero_goal/put_the_cream_cheese_in_the_bowl,118,False,12,12,False
episode,ac_reference,8684,libero_long,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,284,True,40,23,False
episode,ac_reference,8687,libero_long,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,287,False,-1,10,True
episode,ac_reference,8719,libero_long,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,319,True,36,32,False
episode,ac_reference,8799,libero_long,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,399,False,-1,10,True
episode,ac_reference,9219,libero_long,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,19,False,-1,19,True
episode,ac_reference,9220,libero_long,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,20,False,-1,19,True
episode,ac_reference,9306,libero_long,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,106,False,-1,17,True
episode,ac_reference,9352,libero_long,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,152,False,23,22,False
episode,ac_reference,9353,libero_long,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,153,False,20,19,False
episode,ac_reference,9354,libero_long,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,154,False,-1,17,True
episode,ac_reference,9355,libero_long,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,155,False,-1,20,True
episode,ac_reference,9356,libero_long,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,156,False,-1,20,True
episode,ac_reference,9357,libero_long,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,157,False,20,20,False
episode,ac_reference,9374,libero_long,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,174,False,-1,20,True
episode,ac_reference,9392,libero_long,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,192,True,29,18,False
episode,ac_reference,9394,libero_long,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,194,False,-1,17,True
episode,ac_reference,9431,libero_long,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,231,False,-1,22,True
episode,ac_reference,9432,libero_long,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,232,False,-1,19,True
episode,ac_reference,9435,libero_long,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,235,False,-1,19,True
episode,ac_reference,9437,libero_long,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,237,False,-1,19,True
episode,ac_reference,9537,libero_long,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,337,False,-1,25,True
episode,ac_reference,9551,libero_long,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,351,False,-1,17,True
episode,ac_reference,9575,libero_long,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,375,False,-1,17,True
episode,ac_reference,10035,libero_long,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,35,False,-1,19,True
episode,ac_reference,10100,libero_long,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,100,False,23,23,False
episode,ac_reference,10101,libero_long,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,101,False,-1,23,True
episode,ac_reference,10176,libero_long,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,176,False,21,19,False
episode,ac_reference,10180,libero_long,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,180,False,21,21,False
episode,ac_reference,10186,libero_long,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,186,False,17,17,False
episode,ac_reference,10273,libero_long,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,273,False,-1,21,True
episode,ac_reference,10275,libero_long,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,275,False,39,39,False
episode,ac_reference,10278,libero_long,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,278,False,-1,20,True
episode,ac_reference,10279,libero_long,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,279,False,21,21,False
episode,ac_reference,10322,libero_long,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,322,False,-1,17,True
episode,ac_reference,10353,libero_long,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,353,False,-1,19,True
episode,ac_reference,10355,libero_long,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,355,False,-1,19,True
episode,ac_reference,10360,libero_long,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,360,False,21,20,False
episode,ac_reference,10361,libero_long,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,361,False,21,21,False
episode,ac_reference,10362,libero_long,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,362,False,20,18,False
episode,ac_reference,10363,libero_long,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,363,False,21,18,False
episode,ac_reference,10364,libero_long,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,364,False,21,21,False
episode,ac_reference,10365,libero_long,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,365,False,20,20,False
episode,ac_reference,10366,libero_long,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,366,False,22,21,False
episode,ac_reference,10367,libero_long,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,367,False,21,21,False
episode,ac_reference,10395,libero_long,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,395,False,21,18,False
episode,ac_reference,10804,libero_long,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,4,False,35,35,False
episode,ac_reference,10808,libero_long,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,8,True,36,34,False
