role,task,suite,episode,episode_length,success,failure,alarm,first_alarm_query,first_alarm_phase,lead_to_endpoint_queries,alarm_cause,episode_max_confidence,clock_alarm,clock_first_alarm_query,matched_clock_alarm,matched_clock_query
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,0,9,True,False,False,,,,,0.20328425821064555,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,1,9,True,False,False,,,,,0.24187024753276165,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,2,9,True,False,False,,,,,0.24526775602653295,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,3,9,True,False,False,,,,,0.20708623200129428,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,4,9,True,False,False,,,,,0.24397346707652479,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,5,9,True,False,False,,,,,0.2559456398640997,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,6,9,True,False,False,,,,,0.25125384242032034,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,7,9,True,False,False,,,,,0.18751011163242193,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,8,9,True,False,False,,,,,0.11422099983821388,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,9,9,True,False,False,,,,,0.13646659116647797,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,10,9,True,False,False,,,,,0.1296715741789355,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,11,9,True,False,False,,,,,0.14293803591651832,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,12,9,True,False,False,,,,,0.10055007280375339,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,13,9,True,False,False,,,,,0.10839669956317743,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,14,9,True,False,False,,,,,0.12481799061640508,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,15,9,True,False,False,,,,,0.11098527746319364,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,16,9,True,False,False,,,,,0.15766057272286038,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,17,9,True,False,False,,,,,0.23410451383271313,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,18,9,True,False,False,,,,,0.1568516421291053,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,19,9,True,False,False,,,,,0.3239767027988999,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,20,9,True,False,False,,,,,0.5280698916033004,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,21,9,True,False,False,,,,,0.2862805371299143,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,22,9,True,False,False,,,,,0.19390066332308686,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,23,9,True,False,False,,,,,0.4191878336838699,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,24,9,True,False,False,,,,,0.2359650541983498,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,25,9,True,False,False,,,,,0.2060346222294127,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,26,30,False,True,False,,,,,0.43382947743083644,False,,True,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,27,9,True,False,False,,,,,0.32074098042387966,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,28,9,True,False,False,,,,,0.3747775440867174,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,29,9,True,False,False,,,,,0.35819446691473866,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,30,9,True,False,False,,,,,0.2728522892735803,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,31,9,True,False,False,,,,,0.24955508817343475,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,32,30,False,True,False,,,,,0.24324542954214523,False,,True,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,33,30,False,True,False,,,,,0.3682252062773014,False,,True,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,34,9,True,False,False,,,,,0.16736773984792108,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,35,10,True,False,False,,,,,0.3704902119398156,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,36,9,True,False,False,,,,,0.38497006956803104,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,37,30,False,True,False,,,,,0.5710241061316939,False,,True,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,38,9,True,False,False,,,,,0.3408833522083805,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,39,9,True,False,False,,,,,0.44466914738715413,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,40,9,True,False,False,,,,,0.2234266299951464,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,41,9,True,False,False,,,,,0.3160491829801003,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,42,9,True,False,False,,,,,0.18872350752305456,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,43,9,True,False,False,,,,,0.2066008736450412,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,44,9,True,False,False,,,,,0.21606536159197542,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,45,9,True,False,False,,,,,0.2225368063420159,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,46,9,True,False,False,,,,,0.23653130561397828,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,47,9,True,False,False,,,,,0.26783691959229894,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,48,9,True,False,False,,,,,0.2548131370328426,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,49,9,True,False,False,,,,,0.2717197864423232,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,50,9,True,False,False,,,,,0.24623847273903898,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,51,9,True,False,False,,,,,0.2720433586798253,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,52,9,True,False,False,,,,,0.4488755864746805,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,53,9,True,False,False,,,,,0.27131532114544576,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,54,9,True,False,False,,,,,0.2630642290891442,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,55,9,True,False,False,,,,,0.3187995469988675,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,56,9,True,False,False,,,,,0.21477107264196726,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,57,9,True,False,False,,,,,0.20045300113250286,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,58,9,True,False,False,,,,,0.21679339912635498,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,59,9,True,False,False,,,,,0.19309173272933178,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,60,9,True,False,False,,,,,0.2500404465296877,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,61,9,True,False,False,,,,,0.23580326807959873,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,62,9,True,False,False,,,,,0.24551043520465943,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,63,9,True,False,False,,,,,0.20700533894191875,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,64,9,True,False,False,,,,,0.08647468047241547,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,65,9,True,False,False,,,,,0.08396699563177479,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,66,9,True,False,False,,,,,0.08105484549425657,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,67,9,True,False,False,,,,,0.11389742760071186,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,68,9,True,False,False,,,,,0.09318880440058241,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,69,9,True,False,False,,,,,0.10920563015693252,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,70,9,True,False,False,,,,,0.10305775764439407,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,71,9,True,False,False,,,,,0.08704093188804396,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,72,9,True,False,False,,,,,0.2031224720918945,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,73,9,True,False,False,,,,,0.31580650380197384,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,74,9,True,False,False,,,,,0.29008251092056303,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,75,9,True,False,False,,,,,0.2693738877204336,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,76,9,True,False,False,,,,,0.4968451706843553,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,77,9,True,False,False,,,,,0.2882219705549264,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,78,9,True,False,False,,,,,0.2904869762174406,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,79,9,True,False,False,,,,,0.41756997249635985,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,80,10,True,False,False,,,,,0.2693738877204336,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,81,10,True,False,False,,,,,0.27382300598608644,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,82,9,True,False,False,,,,,0.26557191392978485,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,83,10,True,False,False,,,,,0.2806180229736288,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,84,9,True,False,False,,,,,0.29016340397993856,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,85,10,True,False,False,,,,,0.2780294450736127,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,86,9,True,False,False,,,,,0.26557191392978485,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,87,10,True,False,False,,,,,0.26152726096100953,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,88,9,True,False,False,,,,,0.2194628700857466,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,89,10,True,False,False,,,,,0.2580488594078628,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,90,9,True,False,False,,,,,0.25157741465782235,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,91,9,True,False,False,,,,,0.2516583077171979,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,92,10,True,False,False,,,,,0.2632260152078951,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,93,10,True,False,False,,,,,0.25327616890470794,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,94,9,True,False,False,,,,,0.2586151108234913,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,95,9,True,False,False,,,,,0.25408509949846303,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,96,9,True,False,False,,,,,0.25384242032033655,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,97,9,True,False,False,,,,,0.2743083643423394,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,98,9,True,False,False,,,,,0.289758938683061,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,99,9,True,False,False,,,,,0.2983336029768646,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,100,9,True,False,False,,,,,0.2759262255298496,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,101,9,True,False,False,,,,,0.29671574178935445,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,102,9,True,False,False,,,,,0.29760556544248506,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,103,9,True,False,False,,,,,0.2526290244297039,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,104,9,True,False,False,,,,,0.15563824623847278,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,105,9,True,False,False,,,,,0.2740656851642129,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,106,9,True,False,False,,,,,0.21533732405759587,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,107,9,True,False,False,,,,,0.2783530173111147,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,108,9,True,False,False,,,,,0.28781750525804883,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,109,9,True,False,False,,,,,0.26702798899854396,False,,False,29
heldout_test,libero_goal/put_the_bowl_on_the_stove,libero_goal,110,9,True,False,False,,,,,0.2248827050639055,False,,False,29
