fold,suite,seed,reference_cap,method,calibration,alpha,scope,task,episodes,failures,successes,tp,fp,recall,fpr,precision,balanced_accuracy,t_det,median_alarm_query
libero_goal_20260907,libero_goal,20260907,4096,load_contrast__current,episode,0.05,seen,libero_goal/open_the_middle_drawer_of_the_cabinet,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,4096,load_contrast__current,episode,0.05,seen,libero_goal/push_the_plate_to_the_front_of_the_stove,80,1,79,0,6,0.0,0.0759493670886076,0.0,0.4620253164556962,1.0,
libero_goal_20260907,libero_goal,20260907,4096,load_contrast__current,episode,0.05,seen,libero_goal/put_the_bowl_on_top_of_the_cabinet,80,3,77,3,7,1.0,0.09090909090909091,0.3,0.9545454545454546,0.3222222222222222,8.0
libero_goal_20260907,libero_goal,20260907,4096,load_contrast__current,episode,0.05,seen,libero_goal/put_the_cream_cheese_in_the_bowl,80,8,72,8,9,1.0,0.125,0.47058823529411764,0.9375,0.25,6.0
libero_goal_20260907,libero_goal,20260907,4096,load_contrast__current,episode,0.05,seen,libero_goal/put_the_wine_bottle_on_the_rack,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,4096,load_contrast__current,episode,0.05,seen,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,80,0,80,0,17,,0.2125,0.0,,,
libero_goal_20260907,libero_goal,20260907,4096,load_contrast__current,episode,0.05,seen,libero_goal/turn_on_the_stove,80,0,80,0,8,,0.1,0.0,,,
libero_goal_20260907,libero_goal,20260907,4096,load_contrast__current,episode,0.05,unseen,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,400,51,349,51,349,1.0,1.0,0.1275,0.5,0.13333333333333336,3.0
libero_goal_20260907,libero_goal,20260907,4096,load_contrast__current,episode,0.05,unseen,libero_goal/put_the_bowl_on_the_plate,400,18,382,18,382,1.0,1.0,0.045,0.5,0.12037037037037034,3.0
libero_goal_20260907,libero_goal,20260907,4096,load_contrast__current,episode,0.05,unseen,libero_goal/put_the_bowl_on_the_stove,400,9,391,9,391,1.0,1.0,0.0225,0.5,0.1111111111111111,3.0
libero_goal_20260907,libero_goal,20260907,4096,load_contrast__current,task_init,0.05,seen,libero_goal/open_the_middle_drawer_of_the_cabinet,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,4096,load_contrast__current,task_init,0.05,seen,libero_goal/push_the_plate_to_the_front_of_the_stove,80,1,79,0,0,0.0,0.0,,0.5,1.0,
libero_goal_20260907,libero_goal,20260907,4096,load_contrast__current,task_init,0.05,seen,libero_goal/put_the_bowl_on_top_of_the_cabinet,80,3,77,3,0,1.0,0.0,1.0,1.0,0.3222222222222222,8.0
libero_goal_20260907,libero_goal,20260907,4096,load_contrast__current,task_init,0.05,seen,libero_goal/put_the_cream_cheese_in_the_bowl,80,8,72,8,4,1.0,0.05555555555555555,0.6666666666666666,0.9722222222222222,0.25,6.0
libero_goal_20260907,libero_goal,20260907,4096,load_contrast__current,task_init,0.05,seen,libero_goal/put_the_wine_bottle_on_the_rack,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,4096,load_contrast__current,task_init,0.05,seen,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,80,0,80,0,17,,0.2125,0.0,,,
libero_goal_20260907,libero_goal,20260907,4096,load_contrast__current,task_init,0.05,seen,libero_goal/turn_on_the_stove,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,4096,load_contrast__current,task_init,0.05,unseen,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,400,51,349,36,129,0.7058823529411765,0.36962750716332377,0.21818181818181817,0.6681274228889265,0.7241830065359478,21.0
libero_goal_20260907,libero_goal,20260907,4096,load_contrast__current,task_init,0.05,unseen,libero_goal/put_the_bowl_on_the_plate,400,18,382,18,222,1.0,0.581151832460733,0.075,0.7094240837696335,0.23703703703703707,6.0
libero_goal_20260907,libero_goal,20260907,4096,load_contrast__current,task_init,0.05,unseen,libero_goal/put_the_bowl_on_the_stove,400,9,391,7,235,0.7777777777777778,0.6010230179028133,0.028925619834710745,0.5883773799374822,0.37777777777777777,3.0
libero_goal_20260907,libero_goal,20260907,4096,load_contrast__cumsum,episode,0.05,seen,libero_goal/open_the_middle_drawer_of_the_cabinet,80,0,80,0,1,,0.0125,0.0,,,
libero_goal_20260907,libero_goal,20260907,4096,load_contrast__cumsum,episode,0.05,seen,libero_goal/push_the_plate_to_the_front_of_the_stove,80,1,79,0,2,0.0,0.02531645569620253,0.0,0.4873417721518987,1.0,
libero_goal_20260907,libero_goal,20260907,4096,load_contrast__cumsum,episode,0.05,seen,libero_goal/put_the_bowl_on_top_of_the_cabinet,80,3,77,3,0,1.0,0.0,1.0,1.0,0.3111111111111111,8.0
libero_goal_20260907,libero_goal,20260907,4096,load_contrast__cumsum,episode,0.05,seen,libero_goal/put_the_cream_cheese_in_the_bowl,80,8,72,8,2,1.0,0.027777777777777776,0.8,0.9861111111111112,0.2833333333333333,7.0
libero_goal_20260907,libero_goal,20260907,4096,load_contrast__cumsum,episode,0.05,seen,libero_goal/put_the_wine_bottle_on_the_rack,80,0,80,0,9,,0.1125,0.0,,,
libero_goal_20260907,libero_goal,20260907,4096,load_contrast__cumsum,episode,0.05,seen,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,80,0,80,0,8,,0.1,0.0,,,
libero_goal_20260907,libero_goal,20260907,4096,load_contrast__cumsum,episode,0.05,seen,libero_goal/turn_on_the_stove,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,4096,load_contrast__cumsum,episode,0.05,unseen,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,400,51,349,51,349,1.0,1.0,0.1275,0.5,0.24313725490196073,6.0
libero_goal_20260907,libero_goal,20260907,4096,load_contrast__cumsum,episode,0.05,unseen,libero_goal/put_the_bowl_on_the_plate,400,18,382,18,382,1.0,1.0,0.045,0.5,0.20370370370370372,5.0
libero_goal_20260907,libero_goal,20260907,4096,load_contrast__cumsum,episode,0.05,unseen,libero_goal/put_the_bowl_on_the_stove,400,9,391,9,391,1.0,1.0,0.0225,0.5,0.2037037037037037,5.0
libero_goal_20260907,libero_goal,20260907,4096,load_contrast__cumsum,task_init,0.05,seen,libero_goal/open_the_middle_drawer_of_the_cabinet,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,4096,load_contrast__cumsum,task_init,0.05,seen,libero_goal/push_the_plate_to_the_front_of_the_stove,80,1,79,0,0,0.0,0.0,,0.5,1.0,
libero_goal_20260907,libero_goal,20260907,4096,load_contrast__cumsum,task_init,0.05,seen,libero_goal/put_the_bowl_on_top_of_the_cabinet,80,3,77,3,0,1.0,0.0,1.0,1.0,0.3444444444444444,9.0
libero_goal_20260907,libero_goal,20260907,4096,load_contrast__cumsum,task_init,0.05,seen,libero_goal/put_the_cream_cheese_in_the_bowl,80,8,72,8,1,1.0,0.013888888888888888,0.8888888888888888,0.9930555555555556,0.30833333333333335,7.0
libero_goal_20260907,libero_goal,20260907,4096,load_contrast__cumsum,task_init,0.05,seen,libero_goal/put_the_wine_bottle_on_the_rack,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,4096,load_contrast__cumsum,task_init,0.05,seen,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,4096,load_contrast__cumsum,task_init,0.05,seen,libero_goal/turn_on_the_stove,80,0,80,0,0,,0.0,,,,
