method,threshold_mode,suite,task,episodes,risks,alarms,tp,fp,precision,recall,mean_matched_prior,lift
v4:front_lock,per_task,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,400,0,0,0,0,,,,
v4:front_lock,per_task,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,400,51,34,33,1,0.9705882352941176,0.6470588235294118,0.9668113509077616,1.003906537074487
v4:front_lock,per_task,libero_goal,libero_goal/push_the_plate_to_the_front_of_the_stove,400,1,0,0,0,,0.0,,
v4:front_lock,per_task,libero_goal,libero_goal/put_the_bowl_on_the_plate,400,18,3,3,0,1.0,0.16666666666666666,0.1763727121464226,5.669811320754717
v4:front_lock,per_task,libero_goal,libero_goal/put_the_bowl_on_the_stove,400,9,6,6,0,1.0,0.6666666666666666,0.21256613595646145,4.704418206128673
v4:front_lock,per_task,libero_goal,libero_goal/put_the_bowl_on_top_of_the_cabinet,400,16,16,16,0,1.0,1.0,0.2124246019673461,4.707552659807831
v4:front_lock,per_task,libero_goal,libero_goal/put_the_cream_cheese_in_the_bowl,400,9,4,4,0,1.0,0.4444444444444444,0.7851255717929587,1.273681607027958
v4:front_lock,per_task,libero_goal,libero_goal/put_the_wine_bottle_on_the_rack,400,1,1,1,0,1.0,1.0,0.954954954954955,1.0471698113207546
v4:front_lock,per_task,libero_goal,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,400,1,1,1,0,1.0,1.0,0.2231578947368421,4.481132075471698
v4:front_lock,per_task,libero_goal,libero_goal/turn_on_the_stove,400,0,0,0,0,,,,
v4:front_lock,per_task,libero_long,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,400,4,5,4,1,0.8,1.0,0.3420031339337478,2.339159851543859
v4:front_lock,per_task,libero_long,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,400,1,2,1,1,0.5,1.0,0.2577826030080203,1.9396188655308273
v4:front_lock,per_task,libero_long,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,400,1,6,1,5,0.16666666666666666,1.0,0.38237338403322135,0.43587413148030807
v4:front_lock,per_task,libero_long,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,400,151,1,1,0,1.0,0.006622516556291391,0.9513888888888888,1.051094890510949
v4:front_lock,per_task,libero_long,libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,400,30,33,29,4,0.8787878787878788,0.9666666666666667,0.21603380875217162,4.067825697578667
v4:front_lock,per_task,libero_long,libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,400,10,8,8,0,1.0,0.8,0.0685,14.5985401459854
v4:front_lock,per_task,libero_long,libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,400,4,4,2,2,0.5,0.5,0.20918857290369094,2.3901879202082266
v4:front_lock,per_task,libero_long,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,400,20,14,13,1,0.9285714285714286,0.65,0.47130484667818784,1.9702140453596215
v4:front_lock,per_task,libero_long,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,400,47,27,21,6,0.7777777777777778,0.44680851063829785,0.6066829124775402,1.2820169511640425
v4:front_lock,per_task,libero_long,libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,400,6,12,2,10,0.16666666666666666,0.3333333333333333,0.12696598858339636,1.312687504159378
v4:front_lock,per_task,libero_object,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,400,3,1,1,0,1.0,0.3333333333333333,0.9777777777777777,1.0227272727272727
v4:front_lock,per_task,libero_object,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,400,10,5,5,0,1.0,0.5,0.771576794558421,1.296047272355187
v4:front_lock,per_task,libero_object,libero_object/pick_up_the_butter_and_place_it_in_the_basket,400,0,0,0,0,,,,
v4:front_lock,per_task,libero_object,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,400,7,0,0,0,,0.0,,
v4:front_lock,per_task,libero_object,libero_object/pick_up_the_ketchup_and_place_it_in_the_basket,400,1,1,1,0,1.0,1.0,0.9565217391304348,1.0454545454545454
v4:front_lock,per_task,libero_object,libero_object/pick_up_the_milk_and_place_it_in_the_basket,400,7,3,3,0,1.0,0.42857142857142855,0.868840579710145,1.1509591326105086
v4:front_lock,per_task,libero_object,libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket,400,5,2,1,1,0.5,0.2,0.5843251088534107,0.8556880278191754
v4:front_lock,per_task,libero_object,libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket,400,4,2,2,0,1.0,0.5,0.9565217391304348,1.0454545454545454
v4:front_lock,per_task,libero_object,libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket,400,7,2,2,0,1.0,0.2857142857142857,0.374550881653861,2.6698642266824084
v4:front_lock,per_task,libero_spatial,libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,400,1,1,0,1,0.0,0.0,0.035122930255895635,0.0
v4:front_lock,per_task,libero_spatial,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,400,3,2,2,0,1.0,0.6666666666666666,0.9757163671685285,1.0248880039820805
v4:front_lock,per_task,libero_spatial,libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,400,14,11,11,0,1.0,0.7857142857142857,0.9822067199434854,1.0181156162905691
v4:front_lock,per_task,libero_spatial,libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,400,3,0,0,0,,0.0,,
v4:front_lock,per_task,libero_spatial,libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,400,24,16,15,1,0.9375,0.625,0.9681017070842561,0.9683899874772219
v4:front_lock,per_task,libero_spatial,libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,400,8,5,5,0,1.0,0.625,0.9831576873830394,1.017130835503907
v4:front_lock,per_task,libero_spatial,libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,400,13,14,13,1,0.9285714285714286,1.0,0.9561084707855744,0.9711988304093568
v4:front_lock,per_task,libero_spatial,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,400,12,12,11,1,0.9166666666666666,0.9166666666666666,0.8956604148104876,1.0234533663750494
v4:front_lock,per_task,libero_spatial,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,400,41,20,20,0,1.0,0.4878048780487805,0.9859154929577467,1.014285714285714
v4:front_lock,per_task,libero_spatial,libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,400,21,2,2,0,1.0,0.09523809523809523,0.9859154929577465,1.0142857142857142
v4:back_lock,per_task,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,400,0,1,0,1,0.0,,0.17637271214642264,0.0
v4:back_lock,per_task,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,400,51,49,48,1,0.9795918367346939,0.9411764705882353,0.9651681074599003,1.0149442663545456
v4:back_lock,per_task,libero_goal,libero_goal/push_the_plate_to_the_front_of_the_stove,400,1,4,1,3,0.25,1.0,0.3428731322401925,0.7291326630541229
v4:back_lock,per_task,libero_goal,libero_goal/put_the_bowl_on_the_plate,400,18,8,7,1,0.875,0.3888888888888889,0.7109695015197459,1.2307138324915874
v4:back_lock,per_task,libero_goal,libero_goal/put_the_bowl_on_the_stove,400,9,7,7,0,1.0,0.7777777777777778,0.20756509771538675,4.8177656600590915
v4:back_lock,per_task,libero_goal,libero_goal/put_the_bowl_on_top_of_the_cabinet,400,16,20,16,4,0.8,1.0,0.15492617784709345,5.163749671727984
v4:back_lock,per_task,libero_goal,libero_goal/put_the_cream_cheese_in_the_bowl,400,9,4,4,0,1.0,0.4444444444444444,0.7851255717929587,1.273681607027958
v4:back_lock,per_task,libero_goal,libero_goal/put_the_wine_bottle_on_the_rack,400,1,2,1,1,0.5,1.0,0.9006336405529953,0.5551646945954589
v4:back_lock,per_task,libero_goal,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,400,1,1,1,0,1.0,1.0,0.20423892100192678,4.89622641509434
v4:back_lock,per_task,libero_goal,libero_goal/turn_on_the_stove,400,0,0,0,0,,,,
v4:back_lock,per_task,libero_long,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,400,4,9,4,5,0.4444444444444444,1.0,0.163750937899258,2.7141490005869358
v4:back_lock,per_task,libero_long,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,400,1,10,1,9,0.1,1.0,0.11520933887920566,0.8679851908953987
v4:back_lock,per_task,libero_long,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,400,1,29,1,28,0.034482758620689655,1.0,0.08958132306311853,0.3849324551323414
v4:back_lock,per_task,libero_long,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,400,151,97,90,7,0.9278350515463918,0.5960264900662252,0.5503971439033886,1.685755570906914
v4:back_lock,per_task,libero_long,libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,400,30,38,29,9,0.7631578947368421,0.9666666666666667,0.12386291822606041,6.16131046859411
v4:back_lock,per_task,libero_long,libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,400,10,10,8,2,0.8,0.8,0.12641831584289182,6.328196944137522
v4:back_lock,per_task,libero_long,libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,400,4,16,3,13,0.1875,0.75,0.12678924347382797,1.4788320748889399
v4:back_lock,per_task,libero_long,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,400,20,22,19,3,0.8636363636363636,0.95,0.4856493710198064,1.7783125340465884
v4:back_lock,per_task,libero_long,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,400,47,54,41,13,0.7592592592592593,0.8723404255319149,0.5052147156689325,1.5028447028783745
v4:back_lock,per_task,libero_long,libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,400,6,40,6,34,0.15,1.0,0.1112848539779282,1.347892319917591
v4:back_lock,per_task,libero_object,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,400,3,2,2,0,1.0,0.6666666666666666,0.9365942028985508,1.0676982591876207
v4:back_lock,per_task,libero_object,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,400,10,5,5,0,1.0,0.5,0.7337410457661505,1.3628786419544374
v4:back_lock,per_task,libero_object,libero_object/pick_up_the_butter_and_place_it_in_the_basket,400,0,0,0,0,,,,
v4:back_lock,per_task,libero_object,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,400,7,0,0,0,,0.0,,
v4:back_lock,per_task,libero_object,libero_object/pick_up_the_ketchup_and_place_it_in_the_basket,400,1,1,1,0,1.0,1.0,0.88,1.1363636363636365
v4:back_lock,per_task,libero_object,libero_object/pick_up_the_milk_and_place_it_in_the_basket,400,7,4,4,0,1.0,0.5714285714285714,0.7366666666666667,1.3574660633484164
v4:back_lock,per_task,libero_object,libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket,400,5,2,1,1,0.5,0.2,0.46273653566229983,1.0805284680717206
v4:back_lock,per_task,libero_object,libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket,400,4,3,3,0,1.0,0.75,0.701727738750712,1.4250541125541125
v4:back_lock,per_task,libero_object,libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket,400,7,2,2,0,1.0,0.2857142857142857,0.19149797570850202,5.221987315010571
v4:back_lock,per_task,libero_spatial,libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,400,1,1,0,1,0.0,0.0,0.958904109589041,0.0
v4:back_lock,per_task,libero_spatial,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,400,3,3,3,0,1.0,1.0,0.9567297238530115,1.045227272727273
v4:back_lock,per_task,libero_spatial,libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,400,14,14,14,0,1.0,1.0,0.9732540407625397,1.027480963979872
v4:back_lock,per_task,libero_spatial,libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,400,3,0,0,0,,0.0,,
