series,direction,quantile,rule,params,basis,d_fp0,d_tp4,d_fp4,d_tp12,d_tp16,conc12,gain12,top_task
set_inflow_all,high,0.9,hard,"{""confirm"": 1}",global,10370,79,8455,163,163,0.26993865030674846,163,open_the_top_drawer_and_put_the_bowl_inside
set_inflow_all,high,0.9,hard,"{""confirm"": 1}",strat,10286,109,8388,211,210,0.25118483412322273,211,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove
set_inflow_all,high,0.9,hard,"{""confirm"": 2}",global,3180,12,2380,33,33,0.18181818181818182,33,pick_up_the_milk_and_place_it_in_the_basket
set_inflow_all,high,0.9,hard,"{""confirm"": 2}",strat,3173,34,2644,70,68,0.5,70,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove
set_inflow_all,high,0.9,hard,"{""confirm"": 3}",global,306,1,145,7,5,0.42857142857142855,7,pick_up_the_milk_and_place_it_in_the_basket
set_inflow_all,high,0.9,hard,"{""confirm"": 3}",strat,271,6,198,9,10,0.4444444444444444,9,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove
set_inflow_all,high,0.9,excursion,"{""m"": 2, ""k"": 3}",global,3842,16,2836,43,49,0.13953488372093023,43,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate
set_inflow_all,high,0.9,excursion,"{""m"": 2, ""k"": 3}",strat,3550,39,2884,76,75,0.5,76,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove
set_inflow_all,high,0.9,excursion,"{""m"": 3, ""k"": 5}",global,1159,4,543,16,22,0.25,16,put_the_bowl_on_the_plate
set_inflow_all,high,0.9,excursion,"{""m"": 3, ""k"": 5}",strat,554,6,311,15,14,0.4,15,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove
set_inflow_all,high,0.9,excursion,"{""m"": 4, ""k"": 6}",global,219,2,43,6,4,0.3333333333333333,6,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate
set_inflow_all,high,0.9,excursion,"{""m"": 4, ""k"": 6}",strat,76,3,24,3,1,0.3333333333333333,3,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate
set_inflow_all,high,0.95,hard,"{""confirm"": 1}",global,6988,41,5129,87,85,0.21839080459770116,87,open_the_top_drawer_and_put_the_bowl_inside
set_inflow_all,high,0.95,hard,"{""confirm"": 1}",strat,6996,82,5450,158,146,0.31645569620253167,158,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove
set_inflow_all,high,0.95,hard,"{""confirm"": 2}",global,930,2,726,11,8,0.2727272727272727,11,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate
set_inflow_all,high,0.95,hard,"{""confirm"": 2}",strat,1049,9,891,23,20,0.5652173913043478,23,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove
set_inflow_all,high,0.95,hard,"{""confirm"": 3}",global,25,0,13,1,0,1.0,1,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate
set_inflow_all,high,0.95,hard,"{""confirm"": 3}",strat,33,0,17,2,0,0.5,2,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate
set_inflow_all,high,0.95,excursion,"{""m"": 2, ""k"": 3}",global,1155,4,826,14,11,0.21428571428571427,14,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate
set_inflow_all,high,0.95,excursion,"{""m"": 2, ""k"": 3}",strat,1149,12,949,26,23,0.5384615384615384,26,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove
set_inflow_all,high,0.95,excursion,"{""m"": 3, ""k"": 5}",global,179,1,54,2,0,0.5,2,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate
set_inflow_all,high,0.95,excursion,"{""m"": 3, ""k"": 5}",strat,74,3,32,2,0,0.5,2,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate
set_inflow_all,high,0.95,excursion,"{""m"": 4, ""k"": 6}",global,10,1,4,0,0,0.0,0,-
set_inflow_all,high,0.95,excursion,"{""m"": 4, ""k"": 6}",strat,11,3,2,1,0,1.0,1,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate
set_inflow_all,high,0.96,hard,"{""confirm"": 1}",global,5960,36,4260,74,69,0.21621621621621623,74,open_the_top_drawer_and_put_the_bowl_inside
set_inflow_all,high,0.96,hard,"{""confirm"": 1}",strat,6005,70,4653,134,123,0.30597014925373134,134,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove
set_inflow_all,high,0.96,hard,"{""confirm"": 2}",global,621,2,496,6,3,0.3333333333333333,6,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate
set_inflow_all,high,0.96,hard,"{""confirm"": 2}",strat,683,4,590,10,8,0.3,10,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove
set_inflow_all,high,0.96,hard,"{""confirm"": 3}",global,14,0,6,0,0,0.0,0,-
set_inflow_all,high,0.96,hard,"{""confirm"": 3}",strat,21,0,11,1,0,1.0,1,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate
set_inflow_all,high,0.96,excursion,"{""m"": 2, ""k"": 3}",global,768,4,554,9,5,0.2222222222222222,9,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate
set_inflow_all,high,0.96,excursion,"{""m"": 2, ""k"": 3}",strat,737,6,618,12,9,0.25,12,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove
set_inflow_all,high,0.96,excursion,"{""m"": 3, ""k"": 5}",global,84,1,21,0,0,0.0,0,-
set_inflow_all,high,0.96,excursion,"{""m"": 3, ""k"": 5}",strat,43,3,19,1,0,1.0,1,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate
set_inflow_all,high,0.96,excursion,"{""m"": 4, ""k"": 6}",global,4,0,2,0,0,0.0,0,-
set_inflow_all,high,0.96,excursion,"{""m"": 4, ""k"": 6}",strat,8,1,1,0,0,0.0,0,-
set_inflow_all,high,0.98,hard,"{""confirm"": 1}",global,3412,16,2263,37,33,0.1891891891891892,37,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate
set_inflow_all,high,0.98,hard,"{""confirm"": 1}",strat,3478,43,2627,74,68,0.32432432432432434,74,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove
set_inflow_all,high,0.98,hard,"{""confirm"": 2}",global,204,1,161,2,2,0.5,2,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate
set_inflow_all,high,0.98,hard,"{""confirm"": 2}",strat,184,1,160,4,2,0.25,4,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate
set_inflow_all,high,0.98,hard,"{""confirm"": 3}",global,4,0,1,0,0,0.0,0,-
set_inflow_all,high,0.98,hard,"{""confirm"": 3}",strat,3,0,1,0,0,0.0,0,-
set_inflow_all,high,0.98,excursion,"{""m"": 2, ""k"": 3}",global,236,1,172,3,3,0.3333333333333333,3,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate
set_inflow_all,high,0.98,excursion,"{""m"": 2, ""k"": 3}",strat,201,3,167,4,2,0.25,4,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate
set_inflow_all,high,0.98,excursion,"{""m"": 3, ""k"": 5}",global,16,0,4,0,0,0.0,0,-
set_inflow_all,high,0.98,excursion,"{""m"": 3, ""k"": 5}",strat,6,1,1,0,0,0.0,0,-
set_inflow_all,high,0.98,excursion,"{""m"": 4, ""k"": 6}",global,0,0,0,0,0,0.0,0,-
set_inflow_all,high,0.98,excursion,"{""m"": 4, ""k"": 6}",strat,1,0,0,0,0,0.0,0,-
set_inflow_all,high,0.99,hard,"{""confirm"": 1}",global,1838,6,1148,16,10,0.3125,16,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate
set_inflow_all,high,0.99,hard,"{""confirm"": 1}",strat,1892,23,1396,37,30,0.32432432432432434,37,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove
set_inflow_all,high,0.99,hard,"{""confirm"": 2}",global,77,0,55,0,0,0.0,0,-
set_inflow_all,high,0.99,hard,"{""confirm"": 2}",strat,58,0,56,0,0,0.0,0,-
set_inflow_all,high,0.99,hard,"{""confirm"": 3}",global,3,0,1,0,0,0.0,0,-
set_inflow_all,high,0.99,hard,"{""confirm"": 3}",strat,0,0,0,0,0,0.0,0,-
set_inflow_all,high,0.99,excursion,"{""m"": 2, ""k"": 3}",global,84,0,58,0,0,0.0,0,-
set_inflow_all,high,0.99,excursion,"{""m"": 2, ""k"": 3}",strat,61,1,57,0,0,0.0,0,-
set_inflow_all,high,0.99,excursion,"{""m"": 3, ""k"": 5}",global,6,0,2,0,0,0.0,0,-
set_inflow_all,high,0.99,excursion,"{""m"": 3, ""k"": 5}",strat,0,0,0,0,0,0.0,0,-
set_inflow_all,high,0.99,excursion,"{""m"": 4, ""k"": 6}",global,0,0,0,0,0,0.0,0,-
set_inflow_all,high,0.99,excursion,"{""m"": 4, ""k"": 6}",strat,0,0,0,0,0,0.0,0,-
set_inflow_all,high,0.995,hard,"{""confirm"": 1}",global,957,3,576,12,5,0.3333333333333333,12,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate
set_inflow_all,high,0.995,hard,"{""confirm"": 1}",strat,1047,15,742,16,14,0.3125,16,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove
set_inflow_all,high,0.995,hard,"{""confirm"": 2}",global,22,0,16,0,0,0.0,0,-
set_inflow_all,high,0.995,hard,"{""confirm"": 2}",strat,22,0,22,0,0,0.0,0,-
set_inflow_all,high,0.995,hard,"{""confirm"": 3}",global,1,0,0,0,0,0.0,0,-
set_inflow_all,high,0.995,hard,"{""confirm"": 3}",strat,0,0,0,0,0,0.0,0,-
set_inflow_all,high,0.995,excursion,"{""m"": 2, ""k"": 3}",global,24,0,16,0,0,0.0,0,-
set_inflow_all,high,0.995,excursion,"{""m"": 2, ""k"": 3}",strat,22,1,22,0,0,0.0,0,-
set_inflow_all,high,0.995,excursion,"{""m"": 3, ""k"": 5}",global,1,0,0,0,0,0.0,0,-
set_inflow_all,high,0.995,excursion,"{""m"": 3, ""k"": 5}",strat,0,0,0,0,0,0.0,0,-
set_inflow_all,high,0.995,excursion,"{""m"": 4, ""k"": 6}",global,0,0,0,0,0,0.0,0,-
set_inflow_all,high,0.995,excursion,"{""m"": 4, ""k"": 6}",strat,0,0,0,0,0,0.0,0,-
set_inflow_all,low,0.9,hard,"{""confirm"": 1}",global,3641,135,2895,188,152,0.2872340425531915,188,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove
set_inflow_all,low,0.9,hard,"{""confirm"": 1}",strat,7851,137,5843,233,202,0.22317596566523606,233,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove
set_inflow_all,low,0.9,hard,"{""confirm"": 2}",global,1685,124,1164,136,105,0.39705882352941174,136,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove
set_inflow_all,low,0.9,hard,"{""confirm"": 2}",strat,2645,97,1768,126,74,0.2619047619047619,126,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove
set_inflow_all,low,0.9,hard,"{""confirm"": 3}",global,768,120,514,120,76,0.45,120,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove
set_inflow_all,low,0.9,hard,"{""confirm"": 3}",strat,784,82,465,69,28,0.36231884057971014,69,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate
set_inflow_all,low,0.9,excursion,"{""m"": 2, ""k"": 3}",global,1992,124,1385,147,107,0.3673469387755102,147,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove
set_inflow_all,low,0.9,excursion,"{""m"": 2, ""k"": 3}",strat,3178,101,2164,140,81,0.25,140,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove
set_inflow_all,low,0.9,excursion,"{""m"": 3, ""k"": 5}",global,1178,123,777,128,88,0.421875,128,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove
set_inflow_all,low,0.9,excursion,"{""m"": 3, ""k"": 5}",strat,1126,87,728,89,45,0.33707865168539325,89,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate
set_inflow_all,low,0.9,excursion,"{""m"": 4, ""k"": 6}",global,672,119,396,106,65,0.5094339622641509,106,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove
set_inflow_all,low,0.9,excursion,"{""m"": 4, ""k"": 6}",strat,359,71,259,53,18,0.39622641509433965,53,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate
set_inflow_all,low,0.95,hard,"{""confirm"": 1}",global,1606,126,1102,156,115,0.34615384615384615,156,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove
set_inflow_all,low,0.95,hard,"{""confirm"": 1}",strat,4770,124,3454,195,154,0.2512820512820513,195,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove
set_inflow_all,low,0.95,hard,"{""confirm"": 2}",global,520,114,357,114,61,0.4649122807017544,114,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove
set_inflow_all,low,0.95,hard,"{""confirm"": 2}",strat,1093,82,747,95,47,0.3263157894736842,95,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate
set_inflow_all,low,0.95,hard,"{""confirm"": 3}",global,211,103,157,95,32,0.49473684210526314,95,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove
set_inflow_all,low,0.95,hard,"{""confirm"": 3}",strat,262,57,164,46,15,0.43478260869565216,46,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate
set_inflow_all,low,0.95,excursion,"{""m"": 2, ""k"": 3}",global,580,116,398,124,64,0.43548387096774194,124,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove
set_inflow_all,low,0.95,excursion,"{""m"": 2, ""k"": 3}",strat,1270,87,878,105,55,0.3142857142857143,105,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate
set_inflow_all,low,0.95,excursion,"{""m"": 3, ""k"": 5}",global,277,108,196,103,35,0.49514563106796117,103,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove
set_inflow_all,low,0.95,excursion,"{""m"": 3, ""k"": 5}",strat,368,64,246,60,22,0.43333333333333335,60,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate
set_inflow_all,low,0.95,excursion,"{""m"": 4, ""k"": 6}",global,154,102,89,79,22,0.5189873417721519,79,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove
set_inflow_all,low,0.95,excursion,"{""m"": 4, ""k"": 6}",strat,111,35,72,33,8,0.45454545454545453,33,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate
