suite,task_id,task_dir,task_name,prompt,episode_index,init_state_id,flow_noise_seed,success,action_steps,inference_calls,control_step_offset,path,mig_uuid,mig_profile,wall_s
goal,0,t00__open_the_middle_drawer_of_the_cabinet,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,0,0,1000,1,122,13,0,corpus/libero30-right-v1/libero_goal/t00__open_the_middle_drawer_of_the_cabinet,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,18.7
goal,0,t00__open_the_middle_drawer_of_the_cabinet,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,1,1,1000,1,103,11,13,corpus/libero30-right-v1/libero_goal/t00__open_the_middle_drawer_of_the_cabinet,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,13.2
goal,0,t00__open_the_middle_drawer_of_the_cabinet,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,2,2,1000,1,114,12,24,corpus/libero30-right-v1/libero_goal/t00__open_the_middle_drawer_of_the_cabinet,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,14.0
goal,0,t00__open_the_middle_drawer_of_the_cabinet,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,3,3,1000,1,128,13,36,corpus/libero30-right-v1/libero_goal/t00__open_the_middle_drawer_of_the_cabinet,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,15.1
goal,0,t00__open_the_middle_drawer_of_the_cabinet,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,4,4,1000,1,115,12,49,corpus/libero30-right-v1/libero_goal/t00__open_the_middle_drawer_of_the_cabinet,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,14.2
goal,0,t00__open_the_middle_drawer_of_the_cabinet,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,5,5,1000,1,125,13,61,corpus/libero30-right-v1/libero_goal/t00__open_the_middle_drawer_of_the_cabinet,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,15.3
goal,0,t00__open_the_middle_drawer_of_the_cabinet,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,6,6,1000,1,118,12,74,corpus/libero30-right-v1/libero_goal/t00__open_the_middle_drawer_of_the_cabinet,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,14.2
goal,0,t00__open_the_middle_drawer_of_the_cabinet,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,7,7,1000,1,117,12,86,corpus/libero30-right-v1/libero_goal/t00__open_the_middle_drawer_of_the_cabinet,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,14.1
goal,0,t00__open_the_middle_drawer_of_the_cabinet,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,8,8,1000,1,117,12,98,corpus/libero30-right-v1/libero_goal/t00__open_the_middle_drawer_of_the_cabinet,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,14.2
goal,0,t00__open_the_middle_drawer_of_the_cabinet,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,9,9,1000,1,114,12,110,corpus/libero30-right-v1/libero_goal/t00__open_the_middle_drawer_of_the_cabinet,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,14.2
goal,0,t00__open_the_middle_drawer_of_the_cabinet,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,10,10,1000,1,128,13,122,corpus/libero30-right-v1/libero_goal/t00__open_the_middle_drawer_of_the_cabinet,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,15.3
goal,0,t00__open_the_middle_drawer_of_the_cabinet,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,11,11,1000,1,122,13,135,corpus/libero30-right-v1/libero_goal/t00__open_the_middle_drawer_of_the_cabinet,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,14.9
goal,0,t00__open_the_middle_drawer_of_the_cabinet,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,12,12,1000,1,117,12,148,corpus/libero30-right-v1/libero_goal/t00__open_the_middle_drawer_of_the_cabinet,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,14.1
goal,0,t00__open_the_middle_drawer_of_the_cabinet,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,13,13,1000,1,128,13,160,corpus/libero30-right-v1/libero_goal/t00__open_the_middle_drawer_of_the_cabinet,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,15.0
goal,0,t00__open_the_middle_drawer_of_the_cabinet,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,14,14,1000,1,123,13,173,corpus/libero30-right-v1/libero_goal/t00__open_the_middle_drawer_of_the_cabinet,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,15.1
goal,0,t00__open_the_middle_drawer_of_the_cabinet,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,15,15,1000,1,126,13,186,corpus/libero30-right-v1/libero_goal/t00__open_the_middle_drawer_of_the_cabinet,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,15.0
goal,0,t00__open_the_middle_drawer_of_the_cabinet,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,16,16,1000,1,116,12,199,corpus/libero30-right-v1/libero_goal/t00__open_the_middle_drawer_of_the_cabinet,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,14.1
goal,0,t00__open_the_middle_drawer_of_the_cabinet,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,17,17,1000,1,128,13,211,corpus/libero30-right-v1/libero_goal/t00__open_the_middle_drawer_of_the_cabinet,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,15.3
goal,0,t00__open_the_middle_drawer_of_the_cabinet,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,18,18,1000,1,118,12,224,corpus/libero30-right-v1/libero_goal/t00__open_the_middle_drawer_of_the_cabinet,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,14.3
goal,0,t00__open_the_middle_drawer_of_the_cabinet,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,19,19,1000,1,114,12,236,corpus/libero30-right-v1/libero_goal/t00__open_the_middle_drawer_of_the_cabinet,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,14.0
goal,0,t00__open_the_middle_drawer_of_the_cabinet,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,20,20,1000,1,119,12,248,corpus/libero30-right-v1/libero_goal/t00__open_the_middle_drawer_of_the_cabinet,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,14.2
goal,0,t00__open_the_middle_drawer_of_the_cabinet,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,21,21,1000,1,122,13,260,corpus/libero30-right-v1/libero_goal/t00__open_the_middle_drawer_of_the_cabinet,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,14.9
goal,0,t00__open_the_middle_drawer_of_the_cabinet,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,22,22,1000,1,132,14,273,corpus/libero30-right-v1/libero_goal/t00__open_the_middle_drawer_of_the_cabinet,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,15.8
goal,0,t00__open_the_middle_drawer_of_the_cabinet,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,23,23,1000,1,118,12,287,corpus/libero30-right-v1/libero_goal/t00__open_the_middle_drawer_of_the_cabinet,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,14.2
goal,0,t00__open_the_middle_drawer_of_the_cabinet,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,24,24,1000,1,107,11,299,corpus/libero30-right-v1/libero_goal/t00__open_the_middle_drawer_of_the_cabinet,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,13.0
goal,0,t00__open_the_middle_drawer_of_the_cabinet,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,25,25,1000,1,126,13,310,corpus/libero30-right-v1/libero_goal/t00__open_the_middle_drawer_of_the_cabinet,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,15.1
goal,0,t00__open_the_middle_drawer_of_the_cabinet,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,26,26,1000,1,128,13,323,corpus/libero30-right-v1/libero_goal/t00__open_the_middle_drawer_of_the_cabinet,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,15.0
goal,0,t00__open_the_middle_drawer_of_the_cabinet,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,27,27,1000,1,119,12,336,corpus/libero30-right-v1/libero_goal/t00__open_the_middle_drawer_of_the_cabinet,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,14.0
goal,0,t00__open_the_middle_drawer_of_the_cabinet,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,28,28,1000,1,122,13,348,corpus/libero30-right-v1/libero_goal/t00__open_the_middle_drawer_of_the_cabinet,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,14.9
goal,0,t00__open_the_middle_drawer_of_the_cabinet,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,29,29,1000,1,107,11,361,corpus/libero30-right-v1/libero_goal/t00__open_the_middle_drawer_of_the_cabinet,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,12.9
goal,0,t00__open_the_middle_drawer_of_the_cabinet,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,30,30,1000,1,118,12,372,corpus/libero30-right-v1/libero_goal/t00__open_the_middle_drawer_of_the_cabinet,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,14.0
goal,0,t00__open_the_middle_drawer_of_the_cabinet,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,31,31,1000,1,157,16,384,corpus/libero30-right-v1/libero_goal/t00__open_the_middle_drawer_of_the_cabinet,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,17.8
