direction,task,episode,onset_query,onset_type,first_alarm_query_combined,delta_combined,near_active_combined,first_alarm_query_lock_in,delta_lock_in,near_active_lock_in,first_alarm_query_instability,delta_instability,near_active_instability,first_alarm_query_state_action_decoupling,delta_state_action_decoupling,near_active_state_action_decoupling,first_alarm_query_clock,delta_clock,near_active_clock,first_alarm_query_matched_clock,delta_matched_clock,near_active_matched_clock
seed1008_1015_to_seed1000_1007,libero_goal/put_the_bowl_on_top_of_the_cabinet,24,7,goal_regression,15.0,8.0,False,15.0,8.0,False,,,False,,,False,,,False,24.0,17.0,False
seed1008_1015_to_seed1000_1007,libero_goal/put_the_bowl_on_top_of_the_cabinet,26,6,goal_regression,12.0,6.0,False,12.0,6.0,False,,,False,,,False,,,False,24.0,18.0,False
seed1008_1015_to_seed1000_1007,libero_goal/put_the_bowl_on_top_of_the_cabinet,28,6,goal_regression,13.0,7.0,False,13.0,7.0,False,,,False,,,False,,,False,24.0,18.0,False
seed1008_1015_to_seed1000_1007,libero_goal/put_the_bowl_on_top_of_the_cabinet,40,15,stagnation,17.0,2.0,False,17.0,2.0,False,,,False,,,False,,,False,24.0,9.0,False
seed1008_1015_to_seed1000_1007,libero_goal/put_the_bowl_on_top_of_the_cabinet,44,16,stagnation,13.0,-3.0,True,13.0,-3.0,True,,,False,,,False,,,False,24.0,8.0,False
seed1008_1015_to_seed1000_1007,libero_goal/put_the_bowl_on_top_of_the_cabinet,179,6,goal_regression,13.0,7.0,False,13.0,7.0,False,,,False,,,False,,,False,24.0,18.0,False
seed1008_1015_to_seed1000_1007,libero_goal/put_the_bowl_on_top_of_the_cabinet,180,16,stagnation,13.0,-3.0,True,13.0,-3.0,True,,,False,,,False,,,False,24.0,8.0,False
seed1008_1015_to_seed1000_1007,libero_goal/put_the_bowl_on_top_of_the_cabinet,182,6,goal_regression,13.0,7.0,False,13.0,7.0,False,,,False,,,False,,,False,24.0,18.0,False
seed1008_1015_to_seed1000_1007,libero_goal/put_the_bowl_on_top_of_the_cabinet,216,6,goal_regression,13.0,7.0,False,13.0,7.0,False,,,False,,,False,,,False,24.0,18.0,False
seed1008_1015_to_seed1000_1007,libero_goal/put_the_bowl_on_top_of_the_cabinet,219,6,goal_regression,13.0,7.0,False,13.0,7.0,False,,,False,,,False,,,False,24.0,18.0,False
seed1008_1015_to_seed1000_1007,libero_goal/put_the_bowl_on_top_of_the_cabinet,314,6,goal_regression,13.0,7.0,False,13.0,7.0,False,,,False,,,False,,,False,24.0,18.0,False
seed1008_1015_to_seed1000_1007,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,195,32,stagnation,47.0,15.0,False,47.0,15.0,False,,,False,,,False,41.0,9.0,False,24.0,-8.0,False
seed1008_1015_to_seed1000_1007,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,224,30,stagnation,,,False,,,False,19.0,-11.0,False,,,False,41.0,11.0,False,24.0,-6.0,False
seed1008_1015_to_seed1000_1007,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,261,23,stagnation,24.0,1.0,False,24.0,1.0,False,,,False,,,False,41.0,18.0,False,24.0,1.0,False
seed1008_1015_to_seed1000_1007,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,389,23,stagnation,24.0,1.0,False,24.0,1.0,False,,,False,,,False,41.0,18.0,False,24.0,1.0,False
seed1008_1015_to_seed1000_1007,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,32,24,goal_regression,29.0,5.0,False,29.0,5.0,False,,,False,,,False,41.0,17.0,False,24.0,0.0,True
seed1008_1015_to_seed1000_1007,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,33,24,goal_regression,30.0,6.0,False,30.0,6.0,False,,,False,,,False,41.0,17.0,False,24.0,0.0,True
seed1008_1015_to_seed1000_1007,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,34,22,goal_regression,25.0,3.0,False,25.0,3.0,False,,,False,,,False,41.0,19.0,False,24.0,2.0,False
seed1008_1015_to_seed1000_1007,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,57,27,stagnation,29.0,2.0,False,29.0,2.0,False,,,False,,,False,41.0,14.0,False,24.0,-3.0,False
seed1008_1015_to_seed1000_1007,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,61,33,stagnation,26.0,-7.0,False,26.0,-7.0,False,,,False,,,False,41.0,8.0,False,24.0,-9.0,False
seed1008_1015_to_seed1000_1007,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,72,27,stagnation,28.0,1.0,False,28.0,1.0,False,,,False,,,False,41.0,14.0,False,24.0,-3.0,False
